Rank,Rider,Club Name,Points,RiderID,ClubID,Region,Year,Sex,Cat,Page
45,Joseph Clark,I-Team Cyclists' Club,36,116789,1792,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=116789&year=2017&d=4
45,Mark Perry,Ride 24/7,36,20695,1988,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=20695&year=2017&d=4
47,Alex Collins,Primera-TeamJobs,33,250733,6131,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=250733&year=2017&d=4
48,John Carter,Radeon-Bike Science RT,31,313181,6468,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=313181&year=2017&d=4
49,Simon Jodrell,Morvelo Basso RT ,30,308105,7494,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=308105&year=2017&d=4
49,Robert Telford,Veloton Team,30,526245,6896,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=526245&year=2017&d=4
51,Jim Jones,VeloVitesse,28,64615,607,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=64615&year=2017&d=4
51,Ryan Weston,UK-Biking/Bmth Cycleworks/Trek,28,122805,2358,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=122805&year=2017&d=4
53,Giles Greening,Tri UK,27,315481,6931,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=315481&year=2017&d=4
54,Lee Davis,VeloVitesse,25,3467,607,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=3467&year=2017&d=4
54,William Fleming,Velo Club Venta,25,281680,370,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=281680&year=2017&d=4
54,Rory Gilling,Velo Club Montpellier,25,137041,45,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=137041&year=2017&d=4
54,Martin Rowland,UK-Biking/Bmth Cycleworks/Trek,25,310466,2358,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=310466&year=2017&d=4
54,John Russell,Bristol RC,25,51602,3499,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=51602&year=2017&d=4
54,Dave Tilling,Ride 24/7,25,285663,1988,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=285663&year=2017&d=4
60,Robert Borek,DRK Racing,23,409271,7529,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=409271&year=2017&d=4
60,Patryk Rucki,Skinline Race Club,23,332366,7311,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=332366&year=2017&d=4
62,Tom Morris,Portsmouth North End CC,22,247969,3158,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=247969&year=2017&d=4
63,Jody Crawforth,Hargroves-Ridley-Montezuma's,21,67932,2482,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=67932&year=2017&d=4
63,Rob Hardyman,The Cycle Room,21,272496,7922,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=272496&year=2017&d=4
63,Tom Temple,Bath Cycling Club,21,424348,2327,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=424348&year=2017&d=4
66,Ben Scott-Munden,Sotonia CC,20,326390,3478,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=326390&year=2017&d=4
66,Ed Slot,Sotonia CC,20,200740,3478,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=200740&year=2017&d=4
68,Joseph Andrews,Spokes BPC Racing,19,139558,6926,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=139558&year=2017&d=4
68,Matthew Norris,"Mud, Sweat n Gears CC",19,326174,6130,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=326174&year=2017&d=4
68,Martin Smith,Dream Cycling,19,59989,1831,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=59989&year=2017&d=4
71,Steven Cottington,Bath Cycling Club,16,118005,2327,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=118005&year=2017&d=4
71,Tom Sharp,Bristol RC,16,446596,3499,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=446596&year=2017&d=4
73,Brendan Drewett,Full Gas Racing Team,14,118824,7161,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=118824&year=2017&d=4
73,Christopher Rothwell,Ride 24/7,14,193245,1988,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=193245&year=2017&d=4
75,Lewis Braithwaite,Ride 24/7,13,287461,1988,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=287461&year=2017&d=4
75,Max Moyles,University of Exeter Cycling Club,13,546573,412,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=546573&year=2017&d=4
77,George Bazley,Bristol Cycling Development Squad,12,463688,1970,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=463688&year=2017&d=4
77,Deacon Cutterham CGC,Ride 24/7,12,67740,1988,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=67740&year=2017&d=4
77,Brook Elgie,Sotonia CC,12,132276,3478,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=132276&year=2017&d=4
77,James Horton,VC St Raphael,12,12906,2933,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=12906&year=2017&d=4
81,Phillip Cole,"Mud, Sweat n Gears CC",11,360640,6130,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=360640&year=2017&d=4
81,Red Walters,Sotonia CC,11,356730,3478,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=356730&year=2017&d=4
83,Christopher Davis,Giant Cycling Club - Halo Films,10,14448,2977,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=14448&year=2017&d=4
83,George Jones,VC St Raphael,10,235317,2933,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=235317&year=2017&d=4
83,Brian O'Kelly,Bristol RC,10,29059,3499,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=29059&year=2017&d=4
83,Simon Rogers,Royal Navy & Royal Marines CA,10,358563,3303,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=358563&year=2017&d=4
83,Craig Wallduck,Latchem Sunwise Race Team,10,133460,7887,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=133460&year=2017&d=4
88,George Skinner,Norwood Paragon CC,9,349484,1872,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=349484&year=2017&d=4
88,Samuel Westlake,Bristol RC,9,531238,3499,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=531238&year=2017&d=4
90,Matthew Bone,Hosté TAAP Storck,8,183444,7583,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=183444&year=2017&d=4
90,Patrick Brown,Spokes BPC Racing,8,239791,6926,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=239791&year=2017&d=4
90,James Franklin,Velo Club Venta,8,236604,370,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=236604&year=2017&d=4
90,Chris McLaughlin,UK-Biking/Bmth Cycleworks/Trek,8,566247,2358,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=566247&year=2017&d=4
94,Matthew Buckley,Andover Whls,7,15516,2911,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=15516&year=2017&d=4
94,Conor Chandler,Bath Cycling Club,7,415796,2327,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=415796&year=2017&d=4
94,Matthew Griffin,Radeon-Bike Science RT,7,17908,6468,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=17908&year=2017&d=4
94,Colin Parry,Ride 24/7,7,70421,1988,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=70421&year=2017&d=4
94,Matt Witts,Ride 24/7,7,191214,1988,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=191214&year=2017&d=4
99,Simon Brooks,VC St Raphael,6,65863,2933,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=65863&year=2017&d=4
99,Jason Gault,Primera-TeamJobs,6,319521,6131,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=319521&year=2017&d=4
99,Thom Hayward,Velo Club Venta,6,183486,370,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=183486&year=2017&d=4
99,Adam Holleyman,"Wightlink,Wight Mountain CRT.",6,23051,1408,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=23051&year=2017&d=4
99,Oliver Luff,Ride 24/7,6,546506,1988,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=546506&year=2017&d=4
99,David Prickett,Morvelo Basso RT ,6,439983,7494,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=439983&year=2017&d=4
105,Calum Gillespie,Le Col,5,102479,265,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=102479&year=2017&d=4
105,Will Swarbrick,Bath Cycling Club,5,278504,2327,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=278504&year=2017&d=4
107,Ross Bury,Bristol RC,4,492,3499,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=492&year=2017&d=4
108,James Brickell,Fareham Wheelers Cycling Club,3,254660,3204,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=254660&year=2017&d=4
108,Jay Eastwood,Hargroves-Ridley-Montezuma's,3,42747,2482,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=42747&year=2017&d=4
108,James Ebdon,"Wightlink,Wight Mountain CRT.",3,47351,1408,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=47351&year=2017&d=4
108,James Hywel-Davies,Gillingham and District Wheelers,3,281169,373,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=281169&year=2017&d=4
108,Nicholas O'Hara,3C Cyclexperience,3,35525,7334,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=35525&year=2017&d=4
108,Trevor Smith,Cotswold Veldrijden,3,39001,6274,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=39001&year=2017&d=4
108,Matthew Woods,Performance Cycles,3,45002,4902,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=45002&year=2017&d=4
115,Morgan Curle,Bristol Cycling Development Squad,2,278795,1970,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=278795&year=2017&d=4
115,Thomas Ellis,Southampton University Road Club,2,296324,7930,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=296324&year=2017&d=4
115,Alex Fanshawe,Saint Piran,2,351415,7603,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=351415&year=2017&d=4
115,Carl Luke,Spokes BPC Racing,2,198420,6926,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=198420&year=2017&d=4
115,Ben Millar,VELOFLOW CC,2,410802,7918,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=410802&year=2017&d=4
120,Stefan Barnett,DRK Racing,1,315062,7529,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=315062&year=2017&d=4
120,George Beck,Bath Cycling Club,1,319581,2327,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=319581&year=2017&d=4
120,Shaun Cook,Bristol RC,1,555985,3499,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=555985&year=2017&d=4
120,Alex Faux,Cycleservice Sidmouth,1,453112,7134,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=453112&year=2017&d=4
120,Christopher McGovern,Southampton University Road Club,1,10335,7930,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=10335&year=2017&d=4
120,Darren Orchard,"Mud, Sweat n Gears CC",1,211845,6130,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=211845&year=2017&d=4
120,Will Page,,1,316217,,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=316217&year=2017&d=4
120,Johannes Roux,Giant Cycling Club - Halo Films,1,39967,2977,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=39967&year=2017&d=4
120,George Wise,VC Equipe - Flix,1,119422,7221,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=119422&year=2017&d=4
999,James McLaughlin,Hrinkow Advarics Cycleang,0,63782,8001,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=63782&year=2017&d=4
1,Joe Hill,Sussex Revolution Velo Club,193,2089,7021,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=2089&year=2017&d=4
2,Damien Clayton,Regents Park Rouleurs,181,629871,4642,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=629871&year=2017&d=4
2,Matt Holmes,Arctic Tacx RT,181,7166,964,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=7166&year=2017&d=4
4,Tom Percival,Regents Park Rouleurs,161,379044,4642,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=379044&year=2017&d=4
5,Tobias Dahlhaus,London Dynamo,148,258401,3105,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=258401&year=2017&d=4
6,Alec Briggs,The 5th Floor Cycle Club,138,77719,6511,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=77719&year=2017&d=4
7,Oliver Robinson,Thanet RC Race Team,128,45504,6824,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=45504&year=2017&d=4
8,Lee Smith,Nuun-Sigma Sport-London RT,122,6924,6458,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=6924&year=2017&d=4
9,Sam Christy,London Dynamo,117,312784,3105,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=312784&year=2017&d=4
10,Adam Cotterell,G.S.GREENWICH,113,40167,7515,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=40167&year=2017&d=4
11,Andrew Critchlow,WyndyMilla,111,29795,2245,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=29795&year=2017&d=4
12,Edmund Bishop,VC Meudon,108,340128,101,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=340128&year=2017&d=4
12,Gary Brind,Southdowns Bikes – Casco PET,108,106672,202,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=106672&year=2017&d=4
14,Oliver Cliff,TBW Bottecchia Wigmore RT,106,105935,6566,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=105935&year=2017&d=4
15,Dante Carpenter,Hosté TAAP Storck,105,19130,7583,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=19130&year=2017&d=4
16,Tim Allen,Pearson Cycling Club,104,55916,767,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=55916&year=2017&d=4
17,Tristan Grigalis,PMR@Toachim House,103,237720,6040,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=237720&year=2017&d=4
18,Keith Watson,Adalta Race Team,96,248933,7659,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=248933&year=2017&d=4
19,Tyler Lemmon,TBW Bottecchia Wigmore RT,86,138253,6566,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=138253&year=2017&d=4
20,Steve Calland,Southdowns Bikes – Casco PET,83,50182,202,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=50182&year=2017&d=4
21,Jonathan Gales,Dulwich Paragon CC,82,418124,1710,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=418124&year=2017&d=4
22,Philip Glowinski,VC Londres,80,34945,1390,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=34945&year=2017&d=4
23,Elliot Lipski,Southdowns Bikes – Casco PET,79,195374,202,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=195374&year=2017&d=4
24,Santiago Isaac CaDavid Rivera,VC Londres,77,398496,1390,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=398496&year=2017&d=4
25,Thomas Rowing,Abellio - SFA Racing Team,75,252815,6243,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=252815&year=2017&d=4
26,Tom Wiley,Rapha Cycling Club,73,192147,2858,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=192147&year=2017&d=4
27,Barny Willard,PB Cycle Coaching Racing Team,72,62073,6720,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=62073&year=2017&d=4
27,Isaac Wright,HuntBikeWheels.com,72,7248,7723,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=7248&year=2017&d=4
29,Declan Egan,Kingston Wheelers CC,70,257462,1082,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=257462&year=2017&d=4
30,Lewis Winfield,VC Londres,65,453292,1390,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=453292&year=2017&d=4
31,John Hale,Pearson Cycling Club,59,487023,767,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=487023&year=2017&d=4
32,Joe Hickerton,Spokes BPC Racing,57,181481,6926,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=181481&year=2017&d=4
33,Stuart Spies,London Dynamo,55,14850,3105,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=14850&year=2017&d=4
34,Simon McNamara,Southdowns Bikes – Casco PET,52,7440,202,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=7440&year=2017&d=4
35,Stuart Baldwin,Adalta Race Team,50,6766,7659,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=6766&year=2017&d=4
35,Iain Cook,VC Londres,50,79142,1390,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=79142&year=2017&d=4
35,Tristram More-Molyneux,Gillingham and District Wheelers,50,285459,373,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=285459&year=2017&d=4
38,Richard Mondszein,London Dynamo,47,308664,3105,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=308664&year=2017&d=4
39,John Cockrill,Abellio - SFA Racing Team,43,236495,6243,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=236495&year=2017&d=4
40,Ian Bray,Addiscombe CC,41,454484,3360,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=454484&year=2017&d=4
40,Brindley Taylor,Crawley Wheelers,41,47862,861,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=47862&year=2017&d=4
42,James Bonham,Southdowns Bikes – Casco PET,40,204339,202,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=204339&year=2017&d=4
42,Dean Corney,VC Meudon,40,125200,101,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=125200&year=2017&d=4
42,Robin Parker,East Grinstead CC,40,106322,405,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=106322&year=2017&d=4
45,Gianluca Cappello,VC Meudon,39,30328,101,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=30328&year=2017&d=4
46,Anthony Roberts,VC Meudon,38,463102,101,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=463102&year=2017&d=4
46,Rob Sharland,Paceline RT,38,182347,7036,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=182347&year=2017&d=4
48,Andrew Davis,Kingston Wheelers CC,37,306914,1082,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=306914&year=2017&d=4
49,Keith Henderson,Southborough & District Whls,35,107784,2825,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=107784&year=2017&d=4
50,Callum Clark,trainSharp Club,34,264573,6627,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=264573&year=2017&d=4
50,Gavin Francis,London Dynamo,34,122752,3105,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=122752&year=2017&d=4
50,Ken Prince,VC Meudon,34,3736,101,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=3736&year=2017&d=4
53,Ian Robins,Cycleworks.co.uk,33,190454,2408,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=190454&year=2017&d=4
54,Paul Barnard,Southdowns Bikes – Casco PET,32,11589,202,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=11589&year=2017&d=4
54,Alexander Damms,VC Londres,32,391919,1390,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=391919&year=2017&d=4
56,Rory Palmer,Brighton Mitre CC,31,371240,2755,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=371240&year=2017&d=4
57,Andy Betts,Nuun-Sigma Sport-London RT,30,59601,6458,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=59601&year=2017&d=4
57,James Boyman,Hoops Velo,30,48528,7259,South East,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=48528&year=2017&d=4
