Rank,Rider,Club Name,Points,RiderID,ClubID,Region,Year,Sex,Cat,Page
1,Michael Ford,VC St Raphael,157,245248,2933,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=245248&year=2017&d=4
2,Nic McKibbin,Bath Cycling Club,151,296661,2327,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=296661&year=2017&d=4
3,Matthew Downie,Primera-TeamJobs,149,409153,6131,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=409153&year=2017&d=4
4,Jacques Sauvagnargues,Zappi Racing Team,141,310975,6166,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=310975&year=2017&d=4
5,Calum Croft,Latchem Sunwise Race Team,125,249566,7887,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=249566&year=2017&d=4
6,Frank Kilsby,VC St Raphael,122,234571,2933,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=234571&year=2017&d=4
7,Miles Burton,SIXTYSIX RIISING,118,349842,8053,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=349842&year=2017&d=4
8,Tom Lane,Latchem Sunwise Race Team,116,167906,7887,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=167906&year=2017&d=4
9,Lewis Martin,Spokes BPC Racing,106,256084,6926,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=256084&year=2017&d=4
10,Ben Davis,Bristol RC,104,236785,3499,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=236785&year=2017&d=4
11,Harvey McNaughton,I-Team Cyclists' Club,96,274933,1792,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=274933&year=2017&d=4
12,Ethan Lee,Clay Cross Road Team,95,100841,5462,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=100841&year=2017&d=4
12,Ben Strain,Radeon-Bike Science RT,95,309327,6468,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=309327&year=2017&d=4
14,Gary Sheppard,Bath Cycling Club,92,234989,2327,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=234989&year=2017&d=4
15,Luke Barfoot,Tri UK,89,352334,6931,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=352334&year=2017&d=4
16,Alexander Cross,Team Vision Innovative Leisure,88,245252,6750,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=245252&year=2017&d=4
17,Neil Rutter,Cotswold Veldrijden,77,57212,6274,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=57212&year=2017&d=4
18,Thomas Grigson,Radeon-Bike Science RT,76,257278,6468,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=257278&year=2017&d=4
19,Jake Hollins,Bath Cycling Club,75,308432,2327,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=308432&year=2017&d=4
20,Jamie Wilkins,Veloton Team,69,199057,6896,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=199057&year=2017&d=4
21,Charley Calvert,Team Backstedt/Hotchillee,67,266749,7500,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=266749&year=2017&d=4
22,Jacob Pilkington,Performance Cycles,66,430284,4902,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=430284&year=2017&d=4
23,Christopher Parker,University of Bristol CC,65,380273,508,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=380273&year=2017&d=4
23,Will Ranoe,Morvelo Basso RT ,65,283296,7494,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=283296&year=2017&d=4
25,Benjamin Luckwell,Ride 24/7,62,47859,1988,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=47859&year=2017&d=4
26,Michael Bradbury,BIKESTRONGUK ,60,258770,8081,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=258770&year=2017&d=4
26,Ross Phelps,Bristol RC,60,358999,3499,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=358999&year=2017&d=4
28,Ashley Hutchison,VC St Raphael,59,44139,2933,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=44139&year=2017&d=4
29,Grant Bayton,Ride 24/7,55,50432,1988,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=50432&year=2017&d=4
30,Andrew Carter,Cycleworks.co.uk,54,133665,2408,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=133665&year=2017&d=4
30,Jack Freeman,VC Meudon,54,238511,101,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=238511&year=2017&d=4
32,Andrew Edwards,Bristol RC,50,8165,3499,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=8165&year=2017&d=4
33,Peter Hodson-Thomas,Latchem Sunwise Race Team,49,300664,7887,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=300664&year=2017&d=4
34,Jamie Penton,Radeon-Bike Science RT,48,248532,6468,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=248532&year=2017&d=4
35,Matthew Franklin,Bristol RC,47,118969,3499,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=118969&year=2017&d=4
35,Thomas Key,Primera-TeamJobs,47,184738,6131,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=184738&year=2017&d=4
35,Steve Thomas,Ride 24/7,47,10256,1988,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=10256&year=2017&d=4
38,James Mitri,HMT with JLT Condor,43,65938,7108,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=65938&year=2017&d=4
38,James Peckham,Sotonia CC,43,314103,3478,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=314103&year=2017&d=4
40,Jack Billyard,Zappi Racing Team,42,129796,6166,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=129796&year=2017&d=4
41,Matthew Allsopp,"Wightlink,Wight Mountain CRT.",41,284658,1408,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=284658&year=2017&d=4
42,Elliot Davis,Team Tor 2000 KALAS,40,2890,428,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=2890&year=2017&d=4
43,Charlie Beake,Tri UK,39,415312,6931,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=415312&year=2017&d=4
43,Adrian Lawson,Latchem Sunwise Race Team,39,103723,7887,South,2017,Male,2nd,https://www.britishcycling.org.uk/points?person_id=103723&year=2017&d=4
