secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
1,0,74,0,0,0,0,28,-0.531588,51.365,0,0,17,0,0,0,0,0,0,0,0,0,0
2,0,74,1e-05,0,0,0,28,-0.531588,51.365,0,0,17,0,0,0,0,0,0,0,0,0,0
3,0,75,1e-05,0,0,0,28,-0.531588,51.365,0,0,17,0,0,0,0,0,0,0,0,0,0
4,0,75,0.00107,5.6448,0,0,28,-0.531577,51.365,0,0,17,0,0,0,0,0,0,0,0,0,0
5,0,76,0.00107,5.6448,0,0,28,-0.531577,51.365,0,0,17,0,0,0,0,0,0,0,0,0,0
6,0,77,0.00263,5.7456,0,0,28,-0.53156,51.365,0,0,17,0,0,0,0,0,0,0,0,0,0
7,0,78,0.00432,5.7456,0,0,28,-0.531541,51.365,0,0,17,0,0,0,0,0,0,0,0,0,0
8,0,81,0.00846,9.1044,0,0,28,-0.531497,51.365,0,0,17,0,0,0,0,0,0,0,0,0,0
9,0,82,0.00846,9.1044,0,0,28,-0.531497,51.365,0,0,17,0,0,0,0,0,0,0,0,0,0
10,21,84,0.01124,10.4148,0,70,28,-0.53147,51.3651,0,2.75335e-15,17,0,0,0,0,0,0,0,0,0,0
11,21,85,0.0177,13.536,0,153,28,-0.531441,51.3651,0,2.75335e-15,17,0,56,97,69.5,21.5,18,0,0,0,0
12,42,86,0.0177,13.536,0,153,27.8,-0.531441,51.3651,0,2.75335e-15,17,0,24,55.5,88.5,14.5,27,0,0,0,0
13,42,86,0.02143,12.9312,0,159,27.8,-0.531442,51.3652,0,2.75335e-15,17,0,24,67,74.5,19,20,0,0,0,0
14,42,86,0.02533,14.1408,0,208,27.8,-0.531451,51.3652,0,2.75335e-15,17,0,24,67,75.5,19,23,0,0,0,0
15,52,86,0.02952,14.8464,0,208,27.8,-0.531463,51.3652,0,2.75335e-15,17,0,48,67,75.5,19,23,0,0,0,0
16,56,88,0.03402,17.064,0,238,27.8,-0.531486,51.3653,0,2.75335e-15,17,0,52,73,78.5,22.5,23.5,0,0,0,0
17,63,88,0.03898,18.7092,0,294,27.8,-0.531525,51.3653,0,2.75335e-15,17,0,50,80,87.5,24.5,27.5,0,0,0,0
18,65,90,0.04433,20.052,0,356,27.8,-0.531586,51.3653,0,2.75335e-15,17,0,49,84.5,84.5,25.5,25.5,0,0,0,0
19,72,92,0.05007,21.6324,0,336,27.8,-0.531662,51.3653,0,2.75335e-15,17,0,53,84.5,84.5,25.5,25.5,0,0,0,0
20,78,93,0.06308,24.4872,0,191,27.8,-0.531848,51.3654,0,2.75335e-15,17,0,51,68,70.5,20.5,20,0,0,0,0
21,78,95,0.06308,24.4872,0,105,27.8,-0.531848,51.3654,0,2.75335e-15,17,0,65,62.5,40.5,19,14,0,0,0,0
22,77,96,0.06966,24.084,0,105,27.8,-0.531943,51.3654,0,2.75335e-15,17,0,65,62.5,40.5,19,14,0,0,0,0
23,78,97,0.07638,23.9832,0,159,27.8,-0.532039,51.3654,0,2.75335e-15,17,0,56,60,64,18.5,21.5,0,0,0,0
24,77,98,0.08305,24.084,0,96,27.8,-0.532131,51.3653,0,2.75335e-15,17,0,56,60,49.5,18.5,16,0,0,0,0
25,77,99,0.08982,24.084,0,32,27.8,-0.53222,51.3653,0,2.75335e-15,17,0,53,60,49.5,18.5,16,0,0,0,0
26,51,99,0.09654,23.9832,0,32,27.8,-0.532307,51.3653,0,2.75335e-15,17,0,53,55,37.5,17,12.5,0,0,0,0
27,77,100,0.10313,23.4108,0,158,27.8,-0.532398,51.3653,0,2.75335e-15,17,0,60,55,37.5,17,12.5,0,0,0,0
28,77,100,0.11597,23.9148,0,74,28,-0.532587,51.3653,0,0.155763,17,0,42,55,37.5,17,12.5,0,0,0,0
29,37,100,0.11597,23.9148,0,74,28,-0.532587,51.3653,0,0.155763,17,0,42,60,37.5,18.5,12.5,0,0,0,0
30,37,100,0.12254,23.0436,0,69,28,-0.532677,51.3653,0,0.155763,17,0,42,60,37.5,18.5,12.5,0,0,0,0
31,37,100,0.13503,22.5072,0,69,28,-0.532857,51.3653,0,0.155763,17,0,0,60,97,18.5,65.5,0,0,0,0
32,21,98,0.13503,22.5072,0,69,28,-0.532857,51.3653,0,0.155763,17,0,0,60,97,18.5,65.5,0,0,0,0
33,73,98,0.14137,22.7736,0,130,28.2,-0.532948,51.3653,0,0.471221,17,0,0,60,67,18.5,22.5,0,0,0,0
34,69,98,0.15426,24.8904,0,167,28.2,-0.533134,51.3653,0,0.471221,17,0,0,72.5,54.5,23.5,17,0,0,0,0
35,69,98,0.15426,24.8904,0,70,28.2,-0.533134,51.3653,0,0.471221,17,0,58,72.5,54.5,23.5,17,0,0,0,0
36,27,98,0.16872,26.5356,0,70,28.2,-0.533333,51.3654,0,0.471221,17,0,33,72.5,54.5,23.5,17,0,0,0,0
37,78,98,0.17617,26.838,0,48,28.2,-0.533438,51.3654,0,0.471221,17,0,33,0,0,0,0,0,0,0,0
38,79,99,0.17617,26.838,0,48,28.2,-0.533438,51.3654,0,0.315457,16,0,51,53.5,49.5,15,16.5,0,0,0,0
39,79,100,0.18379,27.5112,0,8,28.2,-0.533546,51.3654,0,0.315457,16,0,51,53.5,49.5,15,16.5,0,0,0,0
40,21,100,0.19947,28.4184,0,8,28.2,-0.533769,51.3654,0,0.315457,16,0,51,0,0,0,0,0,0,0,0
41,21,101,0.19947,28.4184,0,175,28.2,-0.533769,51.3654,0,0.315457,16,0,62,67.5,65,21,22.5,0,0,0,0
