secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
42,59,82,0.09971,30.3984,0,0,1683.2,11.8461,46.5516,0,-1.99468,21,0,-255,0,0,0,0,0,0,0,0
43,60,82.3333,0.108943,31.7196,0,0,1682.67,11.8461,46.5517,0,-2.57229,21,0,-255,0,0,0,0,0,0,0,0
44,61,82.6667,0.118177,33.0408,0,0,1682.13,11.8462,46.5517,0,-3.14991,21,0,-255,0,0,0,0,0,0,0,0
45,62,83,0.12741,34.362,0,0,1681.6,11.8462,46.5518,0,-3.72753,21,0,-255,0,0,0,0,0,0,0,0
46,64,83.5,0.13699,33.8418,0,0,1680.7,11.8463,46.5519,0,-4.66698,21,0,-255,0,0,0,0,0,0,0,0
47,66,84,0.14657,33.3216,0,0,1679.8,11.8464,46.552,0,-5.31867,21,0,-255,0,0,0,0,0,0,0,0
48,69.3333,85,0.156777,35.7288,0,0,1679.07,11.8465,46.552,0,-5.78058,21,0,-255,0,0,0,0,0,0,0,0
49,72.6667,86,0.166983,38.136,0,0,1678.33,11.8466,46.5521,0,-6.24249,21,0,-255,0,0,0,0,0,0,0,0
50,76,87,0.17719,40.5432,0,0,1677.6,11.8467,46.5521,0,-6.48078,21,0,-255,0,0,0,0,0,0,0,0
51,79,88,0.18879,42.0552,0,0,1677.2,11.8468,46.5522,0,-6.34542,21,0,-255,0,0,0,0,0,0,0,0
52,80,89,0.201085,43.8858,0,0,1676.7,11.8469,46.5523,0,-6.51872,21,0,-255,0,0,0,0,0,0,0,0
53,81,90,0.21338,45.7164,0,0,1676.2,11.8471,46.5523,0,-6.34777,21,0,-255,0,0,0,0,0,0,0,0
54,40.5,91,0.226535,46.3374,0,0,1675.9,11.8472,46.5524,0,-5.9982,21,0,-255,0,0,0,0,0,0,0,0
55,0,92,0.23969,46.9584,0,0,1675.6,11.8473,46.5524,0,-5.64864,21,0,-255,0,0,0,0,0,0,0,0
56,0,93,0.25312,48.1356,0,0,1675,11.8475,46.5525,0,-5.15594,21,0,-255,0,0,0,0,0,0,0,0
57,0,93,0.267,49.4784,0,0,1673.6,11.8476,46.5526,0,-5.22513,21,0,-255,0,0,0,0,0,0,0,0
58,0,93,0.28102,50.3172,0,0,1672.2,11.8478,46.5526,0,-5.50522,21,0,-255,0,0,0,0,0,0,0,0
59,0,94,0.29517,50.8896,0,0,1671.4,11.848,46.5527,0,-5.3521,21,0,-255,0,0,0,0,0,0,0,0
60,0,93,0.30951,51.426,0,0,1670.8,11.8481,46.5527,0,-5.05203,21,0,-255,0,0,0,0,0,0,0,0
61,0,93,0.32376,51.4944,0,0,1669.6,11.8483,46.5528,0,-5.54931,21,0,-255,0,0,0,0,0,0,0,0
62,0,93,0.3382,51.93,0,0,1668.4,11.8485,46.5528,0,-5.97366,21,0,-255,0,0,0,0,0,0,0,0
63,0,92.5,0.35296,52.434,0,0,1667.3,11.8487,46.5528,0,-6.31225,21,0,-255,0,0,0,0,0,0,0,0
64,0,92,0.36772,52.938,0,0,1666.2,11.8489,46.5529,0,-6.82946,21,0,-255,0,0,0,0,0,0,0,0
65,98,93,0.38269,53.3736,0,0,1665,11.8491,46.5529,0,-7.40301,21,0,-255,0,0,0,0,0,0,0,0
66,101,92,0.39779,54.3492,0,0,1663.8,11.8493,46.5529,0,-7.75095,21,0,-255,0,0,0,0,0,0,0,0
67,101,93,0.41303,55.4904,0,0,1662,11.8495,46.553,0,-7.92341,21,0,-255,0,0,0,0,0,0,0,0
68,103,93,0.42897,57.1032,0,0,1660.2,11.8497,46.553,0,-8.05407,21,0,-255,0,0,0,0,0,0,0,0
69,103,94,0.44507,57.9096,0,0,1659.2,11.8498,46.5531,0,-8.10982,20,0,-255,0,0,0,0,0,0,0,0
70,103,95,0.46144,58.3632,0,0,1658.5,11.85,46.5531,0,-8.11902,20,0,-255,0,0,0,0,0,0,0,0
71,103,96,0.47781,58.8168,0,0,1657.8,11.8502,46.5532,0,-7.70452,20,0,-255,0,0,0,0,0,0,0,0
72,51.5,97,0.49436,59.0526,0,0,1657.2,11.8504,46.5533,0,-7.23604,20,0,-255,0,0,0,0,0,0,0,0
73,0,98,0.51091,59.2884,0,0,1656.6,11.8506,46.5533,0,-6.85332,20,0,-255,0,0,0,0,0,0,0,0
74,0,99,0.5274,59.1876,0,0,1655.4,11.8508,46.5534,0,-6.83577,20,0,-255,0,0,0,0,0,0,0,0
75,0,100,0.54401,59.3208,0,0,1654,11.851,46.5535,0,-6.87703,20,0,-255,0,0,0,0,0,0,0,0
76,0,100,0.56058,59.1876,0,0,1652.2,11.8512,46.5535,0,-7.16863,20,0,-255,0,0,0,0,0,0,0,0
77,0,101,0.57684,58.212,0,0,1650.8,11.8514,46.5536,0,-6.84854,20,0,-255,0,0,0,0,0,0,0,0
78,0,102,0.59268,57.3732,0,0,1649,11.8516,46.5536,0,-6.85567,20,0,-255,0,0,0,0,0,0,0,0
79,0,102,0.60851,56.97,0,0,1647.4,11.8518,46.5537,0,-7.24529,20,0,-255,0,0,0,0,0,0,0,0
80,0,102,0.6239,55.962,0,0,1646.4,11.852,46.5537,0,-7.46745,20,0,-255,0,0,0,0,0,0,0,0
81,0,101,0.6391,55.1556,0,0,1645.8,11.8522,46.5537,0,-7.43458,20,0,-255,0,0,0,0,0,0,0,0
82,96,101,0.65415,54.72,0,0,1644.6,11.8524,46.5537,0,-7.86938,20,0,-255,0,0,0,0,0,0,0,0
83,96.5,101,0.669195,55.9116,0,0,1642.5,11.8526,46.5536,0,-8.90266,20,0,-255,0,0,0,0,0,0,0,0
84,97,101,0.68424,57.1032,0,0,1640.4,11.8527,46.5536,0,-9.57075,20,0,-255,0,0,0,0,0,0,0,0
85,98,101,0.70023,57.8772,0,0,1639.2,11.8529,46.5536,0,-9.47836,20,0,-255,0,0,0,0,0,0,0,0
86,98,101.5,0.71628,58.2966,0,0,1638.3,11.8531,46.5535,0,-8.9528,20,0,-255,0,0,0,0,0,0,0,0
87,98,102,0.73233,58.716,0,0,1637.4,11.8533,46.5534,0,-8.65254,20,0,-255,0,0,0,0,0,0,0,0
88,98.75,102.5,0.748248,58.5648,0,0,1637.05,11.8535,46.5534,0,-7.73606,20,0,-255,0,0,0,0,0,0,0,0
89,99.5,103,0.764165,58.4136,0,0,1636.7,11.8537,46.5533,0,-6.94521,20,0,-255,0,0,0,0,0,0,0,0
90,100.25,103.5,0.780083,58.2624,0,0,1636.35,11.8539,46.5532,0,-6.51532,20,0,-255,0,0,0,0,0,0,0,0
91,101,104,0.796,58.1112,0,0,1636,11.854,46.5532,0,-6.34047,20,0,-255,0,0,0,0,0,0,0,0
92,101,105.5,0.812005,59.103,0,0,1635.3,11.8542,46.5531,0,-5.98049,20,0,-255,0,0,0,0,0,0,0,0
93,101,107,0.82801,60.0948,0,0,1634.6,11.8544,46.5531,0,-5.02204,20,0,-255,0,0,0,0,0,0,0,0
94,101,108,0.84453,61.2684,0,0,1633.8,11.8547,46.553,0,-4.11049,20,0,-255,0,0,0,0,0,0,0,0
95,0,108,0.86156,61.6392,0,0,1633.2,11.8549,46.553,0,-3.71234,20,0,-255,0,0,0,0,0,0,0,0
96,0,109,0.87842,62.5104,0,0,1632,11.8551,46.553,0,-3.86333,20,0,-255,0,0,0,0,0,0,0,0
97,0,109,0.89567,63.0144,0,0,1630.8,11.8553,46.553,0,-3.99824,20,0,-255,0,0,0,0,0,0,0,0
98,0,109,0.912935,63.486,0,0,1630.1,11.8555,46.5529,0,-4.1838,20,0,-255,0,0,0,0,0,0,0,0
99,0,109,0.9302,63.9576,0,0,1629.4,11.8557,46.5529,0,-4.36936,20,0,-255,0,0,0,0,0,0,0,0
100,0,108.5,0.947895,64.3428,0,0,1628.6,11.856,46.5529,0,-4.60158,20,0,-255,0,0,0,0,0,0,0,0
101,0,108,0.96559,64.728,0,0,1627.8,11.8562,46.5528,0,-4.8338,20,0,-255,0,0,0,0,0,0,0,0
102,0,107,0.98272,65.1312,0,0,1626.4,11.8564,46.5528,0,-5.21372,20,0,-255,0,0,0,0,0,0,0,0
103,0,106,0.99704,65.0664,0,0,1625.4,11.8566,46.5528,0,-5.47468,20,0,-255,0,0,0,0,0,0,0,0
104,0,106,1.01295,56.3652,0,0,1624.2,11.8568,46.5528,0,-5.74466,20,0,-255,0,0,0,0,0,0,0,0
105,0,106,1.02819,53.5428,0,0,1622,11.857,46.5527,0,-6.83591,20,0,-255,0,0,0,0,0,0,0,0
106,0,105,1.04256,50.5548,0,0,1620.4,11.8572,46.5526,0,-7.2376,20,0,-255,0,0,0,0,0,0,0,0
107,0,105,1.05636,50.688,0,0,1619.2,11.8573,46.5526,0,-7.41151,20,0,-255,0,0,0,0,0,0,0,0
108,0,104,1.07101,54.1152,0,0,1617.6,11.8574,46.5524,0,-8.09822,19,0,-255,0,0,0,0,0,0,0,0
109,0,103,1.08794,58.446,0,0,1615.2,11.8574,46.5523,0,-9.11037,19,0,-255,0,0,0,0,0,0,0,0
110,0,102,1.10421,59.22,0,0,1614,11.8574,46.5521,0,-9.39582,19,0,-255,0,0,0,0,0,0,0,0
111,0,101.5,1.12096,59.2038,0,0,1613.3,11.8574,46.552,0,-9.36163,19,0,-255,0,0,0,0,0,0,0,0
112,0,101,1.13771,59.1876,0,0,1612.6,11.8573,46.5518,0,-8.96226,19,0,-255,0,0,0,0,0,0,0,0
113,0,100.5,1.15508,58.1958,0,0,1612,11.8573,46.5517,0,-8.60946,19,0,-255,0,0,0,0,0,0,0,0
114,0,100,1.17244,57.204,0,0,1611.4,11.8572,46.5516,0,-8.20074,19,0,-255,0,0,0,0,0,0,0,0
115,0,99,1.18814,57.1392,0,0,1611.2,11.8571,46.5514,0,-6.88456,19,0,-255,0,0,0,0,0,0,0,0
116,0,99,1.20438,56.9034,0,0,1610.5,11.8569,46.5514,0,-6.20216,19,0,-255,0,0,0,0,0,0,0,0
117,0,99,1.22062,56.6676,0,0,1609.8,11.8567,46.5513,0,-5.76363,19,0,-255,0,0,0,0,0,0,0,0
118,0,99,1.23755,56.6676,0,0,1608.4,11.8565,46.5512,0,-5.49841,19,0,-255,0,0,0,0,0,0,0,0
119,0,98,1.25421,54.45,0,0,1607.2,11.8563,46.5512,0,-4.8011,19,0,-255,0,0,0,0,0,0,0,0
120,0,98,1.26999,55.2564,0,0,1605.4,11.8561,46.5512,0,-5.20423,19,0,-255,0,0,0,0,0,0,0,0
121,0,98,1.2843,48.4056,0,0,1604,11.8559,46.5512,0,-5.76466,19,0,-255,0,0,0,0,0,0,0,0
122,0,96,1.29671,39.8376,0,0,1603,11.8557,46.5511,0,-6.15255,19,0,-255,0,0,0,0,0,0,0,0
123,0,96,1.30675,34.2612,0,0,1601.8,11.8556,46.5511,0,-7.00224,19,0,-255,0,0,0,0,0,0,0,0
124,0,95,1.31544,34.2288,0,0,1600.2,11.8555,46.551,0,-8.49792,19,0,-255,0,0,0,0,0,0,0,0
125,0,95,1.32459,37.3176,0,0,1599.4,11.8555,46.5509,0,-9.24485,19,0,-255,0,0,0,0,0,0,0,0
126,76,94,1.33444,37.2852,0,0,1598.8,11.8556,46.5509,0,-9.42295,19,0,-255,0,0,0,0,0,0,0,0
127,79,95,1.34448,36.378,0,0,1598.4,11.8556,46.5508,0,-9.39032,19,0,-255,0,0,0,0,0,0,0,0
128,83.5,96,1.35776,41.6358,0,0,1597.9,11.8558,46.5508,0,-8.93989,19,0,-255,0,0,0,0,0,0,0,0
129,88,97,1.37104,46.8936,0,0,1597.4,11.856,46.5508,0,-8.59611,19,0,-255,0,0,0,0,0,0,0,0
130,90,98.5,1.38504,48.8754,0,0,1596.9,11.8562,46.5508,0,-7.81257,19,0,-255,0,0,0,0,0,0,0,0
131,92,100,1.39904,50.8572,0,0,1596.4,11.8564,46.5508,0,-7.19138,19,0,-255,0,0,0,0,0,0,0,0
132,93,102,1.41378,52.0668,0,0,1595.8,11.8565,46.5508,0,-6.79263,19,0,-255,0,0,0,0,0,0,0,0
133,93,103,1.42844,52.5348,0,0,1595.4,11.8567,46.5508,0,-5.87026,19,0,-255,0,0,0,0,0,0,0,0
134,93,104,1.44331,53.0388,0,0,1594.4,11.8569,46.5508,0,-4.70156,19,0,-255,0,0,0,0,0,0,0,0
135,0,105,1.45848,53.8776,0,0,1592.8,11.8571,46.5508,0,-4.88196,19,0,-255,0,0,0,0,0,0,0,0
136,0,105,1.47381,54.5184,0,0,1591.4,11.8573,46.5508,0,-5.18606,19,0,-255,0,0,0,0,0,0,0,0
137,0,104,1.48934,55.224,0,0,1589.8,11.8575,46.5508,0,-5.81792,19,0,-255,0,0,0,0,0,0,0,0
138,0,105,1.50504,55.8288,0,0,1588.2,11.8577,46.5508,0,-6.46052,19,0,-255,0,0,0,0,0,0,0,0
139,0,105,1.52084,55.8936,0,0,1586,11.8579,46.5508,0,-7.47642,19,0,-255,0,0,0,0,0,0,0,0
140,0,105,1.53648,55.9944,0,0,1583.8,11.8581,46.5508,0,-8.52593,19,0,-255,0,0,0,0,0,0,0,0
141,0,105,1.55208,55.9944,0,0,1582,11.8583,46.5509,0,-9.32263,19,0,-255,0,0,0,0,0,0,0,0
142,0,104,1.5679,57.3732,0,0,1581.2,11.8585,46.5509,0,-9.42126,19,0,-255,0,0,0,0,0,0,0,0
143,0,104,1.58378,56.4336,0,0,1580.6,11.8587,46.551,0,-9.52625,19,0,-255,0,0,0,0,0,0,0,0
144,0,103,1.59913,54.4176,0,0,1579.6,11.8589,46.5511,0,-9.50522,19,0,-255,0,0,0,0,0,0,0,0
145,0,103,1.61425,53.172,0,0,1578.6,11.859,46.5512,0,-9.11188,19,0,-255,0,0,0,0,0,0,0,0
146,0,102,1.62885,50.9904,0,0,1577.6,11.8592,46.5512,0,-8.88357,19,0,-255,0,0,0,0,0,0,0,0
147,0,101,1.64292,49.7484,0,0,1576.2,11.8593,46.5513,0,-8.84833,19,0,-255,0,0,0,0,0,0,0,0
148,0,101,1.65616,47.5992,0,0,1574.8,11.8595,46.5514,0,-8.88662,19,0,-255,0,0,0,0,0,0,0,0
149,0,100.5,1.66901,46.692,0,0,1573.5,11.8596,46.5514,0,-8.5055,18,0,-255,0,0,0,0,0,0,0,0
150,0,100,1.68187,45.7848,0,0,1572.2,11.8598,46.5514,0,-8.11013,18,0,-255,0,0,0,0,0,0,0,0
