secs,altitude,distance,lat,lon
0,123.4,0.0,51.089809,-0.301577
1,122.8,11.9,51.089715,-0.30166
2,122.6,24.3,51.089619,-0.30175
3,122.2,36.7,51.089524,-0.301841
4,121.8,49.1,51.089428,-0.301932
5,121.4,61.4,51.089336,-0.302029
6,120.8,76.2,51.089227,-0.30215
7,120.4,86.4,51.089155,-0.302241
8,119.8,98.8,51.089068,-0.302352
9,119.2,111.3,51.088983,-0.302468
10,118.8,123.8,51.088902,-0.302593
11,118.4,136.4,51.088827,-0.302728
12,118.0,147.6,51.088766,-0.302855
13,117.6,161.5,51.088695,-0.303019
14,117.2,174.3,51.088632,-0.303172
15,117.0,187.3,51.088571,-0.303329
16,116.6,200.2,51.088509,-0.303486
17,116.4,213.0,51.088449,-0.303642
18,116.2,225.6,51.08839,-0.303795
19,116.0,237.6,51.088329,-0.303937
20,115.8,249.1,51.088261,-0.304062
21,115.8,260.2,51.088183,-0.304164
22,115.6,269.7,51.088105,-0.304225
23,115.4,277.2,51.08804,-0.304255
24,115.4,287.7,51.08795,-0.304209
25,115.4,295.6,51.087886,-0.304159
26,115.6,307.6,51.087816,-0.304028
27,115.6,318.1,51.087766,-0.303901
28,115.8,328.4,51.087728,-0.303767
29,115.8,337.2,51.087699,-0.30365
30,115.8,349.9,51.087685,-0.303471
31,116.0,361.2,51.087673,-0.30331
32,116.0,371.7,51.087666,-0.30316
33,116.0,384.5,51.087655,-0.302978
34,116.0,396.2,51.087644,-0.302813
35,116.0,407.6,51.087628,-0.302651
36,116.2,419.0,51.087617,-0.302489
37,116.2,430.5,51.087606,-0.302324
38,116.2,441.8,51.087595,-0.302164
39,116.2,453.3,51.087582,-0.302
40,116.2,465.1,51.087569,-0.301833
41,116.2,476.5,51.087555,-0.301671
42,116.2,488.2,51.087541,-0.301506
43,116.2,499.6,51.087526,-0.301345
44,116.2,511.4,51.087506,-0.301179
45,116.2,523.4,51.087487,-0.30101
46,116.4,535.5,51.087469,-0.300841
47,116.4,548.3,51.087452,-0.30066
48,116.4,559.2,51.087437,-0.300506
49,116.4,571.1,51.087418,-0.30034
50,116.4,583.0,51.087397,-0.300173
51,116.4,594.9,51.087376,-0.300006
52,116.4,607.0,51.087356,-0.299836
53,116.4,619.1,51.087337,-0.299667
54,116.4,631.1,51.087317,-0.299498
55,116.4,643.2,51.087295,-0.299328
56,116.4,655.6,51.087263,-0.299159
57,116.4,667.9,51.08723,-0.298991
58,116.4,680.2,51.087199,-0.298822
59,116.4,693.1,51.087167,-0.298644
60,116.4,705.3,51.087138,-0.298476
61,116.4,715.6,51.087113,-0.298336
62,116.4,728.5,51.087083,-0.298158
63,116.6,740.4,51.087054,-0.297995
64,116.8,752.3,51.087023,-0.297831
65,117.0,764.2,51.08699,-0.29767
66,117.2,776.2,51.086955,-0.297507
67,117.2,788.2,51.086919,-0.297346
68,117.4,799.9,51.086883,-0.297189
69,117.4,811.6,51.086847,-0.297032
70,117.6,822.9,51.086811,-0.296882
71,117.6,833.9,51.086776,-0.296735
72,118.0,845.1,51.086738,-0.296588
73,118.2,855.3,51.086703,-0.296453
74,118.6,867.1,51.086661,-0.296298
75,118.8,879.5,51.086617,-0.296135
76,119.0,888.3,51.086586,-0.296019
77,119.4,900.6,51.086542,-0.295858
78,119.8,909.5,51.086509,-0.295743
79,120.0,920.9,51.086466,-0.295595
80,120.4,931.0,51.086427,-0.295464
81,120.6,940.4,51.08639,-0.295345
82,121.0,951.4,51.086344,-0.295205
83,121.6,961.4,51.086303,-0.295077
84,122.0,971.3,51.086263,-0.294953
85,122.2,980.8,51.086223,-0.294832
86,122.8,990.2,51.086181,-0.294716
87,123.2,999.3,51.08614,-0.294603
88,123.8,1008.4,51.0861,-0.294489
89,124.0,1017.4,51.086061,-0.294378
90,124.4,1026.4,51.086021,-0.294265
91,124.8,1035.5,51.085981,-0.294152
92,125.2,1044.6,51.085938,-0.294043
93,125.8,1053.8,51.085893,-0.293932
94,126.2,1061.9,51.085856,-0.293832
95,126.6,1071.5,51.085809,-0.293717
96,126.8,1081.9,51.085761,-0.29359
97,127.4,1088.9,51.08573,-0.293503
98,127.8,1097.4,51.08569,-0.293399
99,128.2,1106.2,51.085648,-0.293293
100,128.6,1116.4,51.085597,-0.293172
101,129.0,1124.1,51.085558,-0.293082
102,129.6,1133.4,51.08551,-0.292972
103,130.0,1140.9,51.085472,-0.292884
104,130.4,1152.5,51.085412,-0.292748
105,130.8,1159.5,51.085377,-0.292667
106,131.2,1169.5,51.085322,-0.292552
107,131.6,1178.4,51.085273,-0.292451
108,132.0,1186.6,51.085229,-0.292359
109,132.6,1197.0,51.085171,-0.292243
110,133.0,1207.0,51.085115,-0.29213
111,133.4,1215.5,51.085069,-0.292034
112,133.6,1224.7,51.085017,-0.291932
113,134.0,1233.9,51.084964,-0.291831
114,134.2,1243.2,51.084909,-0.29173
115,134.6,1251.7,51.08486,-0.291638
116,134.8,1262.4,51.084795,-0.291524
117,135.2,1271.9,51.084739,-0.291423
118,135.6,1280.4,51.084689,-0.291331
119,136.0,1291.0,51.084625,-0.291218
120,136.2,1300.6,51.084567,-0.291117
121,136.6,1309.3,51.084515,-0.291023
122,136.8,1319.6,51.084453,-0.290915
123,137.0,1329.4,51.084394,-0.29081
124,137.2,1339.3,51.084335,-0.290706
125,137.4,1349.0,51.084276,-0.290605
126,137.6,1358.7,51.084216,-0.290503
127,137.8,1367.6,51.084162,-0.290409
128,137.8,1378.7,51.084095,-0.290292
129,138.0,1388.1,51.084044,-0.290181
130,138.2,1397.8,51.084007,-0.290053
131,138.2,1407.7,51.083986,-0.289913
132,138.4,1418.1,51.083985,-0.289764
133,138.4,1429.3,51.084005,-0.289606
134,138.4,1441.4,51.084044,-0.289445
135,138.6,1453.6,51.084098,-0.289294
136,138.6,1465.3,51.08416,-0.28916
137,138.6,1476.4,51.084226,-0.28904
138,138.6,1487.2,51.084289,-0.288923
139,138.8,1501.3,51.084384,-0.288786
140,138.8,1512.2,51.084449,-0.28867
141,138.8,1526.6,51.084539,-0.288524
142,138.8,1539.8,51.084617,-0.288381
143,138.8,1553.1,51.084692,-0.288233
144,138.8,1564.9,51.084757,-0.288101
145,139.0,1581.1,51.084839,-0.287909
146,139.0,1594.8,51.084911,-0.287749
147,138.8,1608.8,51.084982,-0.287585
148,138.6,1622.8,51.085054,-0.287421
149,138.4,1637.1,51.085127,-0.287253
150,138.2,1651.1,51.085199,-0.287089
151,138.0,1664.7,51.08527,-0.286931
152,138.0,1679.4,51.085346,-0.286759
153,137.8,1691.8,51.085409,-0.286612
154,137.8,1705.8,51.085474,-0.286442
155,137.6,1720.1,51.085539,-0.286266
156,137.2,1734.3,51.085602,-0.286089
157,137.0,1749.6,51.085665,-0.285895
158,136.8,1764.3,51.085729,-0.285712
159,136.6,1779.3,51.085795,-0.285525
160,136.4,1794.0,51.08586,-0.285342
161,136.0,1808.6,51.085921,-0.285158
162,135.6,1822.0,51.085974,-0.284986
163,135.2,1837.9,51.086039,-0.284784
164,135.0,1852.3,51.086092,-0.284597
165,134.8,1867.7,51.086147,-0.284395
166,134.4,1881.1,51.086194,-0.284219
167,134.2,1895.4,51.086243,-0.284031
168,134.0,1908.9,51.086288,-0.283852
169,133.8,1923.4,51.086338,-0.28366
170,133.8,1937.7,51.086385,-0.28347
171,133.6,1951.4,51.086428,-0.283287
172,133.4,1965.1,51.086468,-0.283102
173,133.4,1978.9,51.086506,-0.282914
174,133.2,1992.2,51.086541,-0.282733
175,133.2,2005.5,51.086574,-0.282551
176,133.0,2019.7,51.08661,-0.282356
177,133.0,2030.7,51.086637,-0.282205
178,133.0,2044.8,51.086669,-0.28201
179,133.2,2058.1,51.0867,-0.281826
180,133.2,2071.7,51.08673,-0.281639
181,133.4,2084.2,51.086758,-0.281466
182,133.6,2099.0,51.086788,-0.281261
183,133.6,2112.7,51.086815,-0.28107
184,133.8,2126.2,51.086841,-0.280882
185,133.8,2139.4,51.086866,-0.280697
186,133.8,2152.2,51.08689,-0.280518
187,134.0,2165.2,51.086914,-0.280337
188,134.0,2177.8,51.086938,-0.280161
189,134.0,2190.3,51.086963,-0.279988
190,134.4,2202.7,51.086986,-0.279814
191,134.6,2215.5,51.087008,-0.279635
192,134.8,2228.1,51.08703,-0.279458
193,135.0,2241.4,51.087056,-0.279273
194,135.2,2255.4,51.087085,-0.279078
195,135.4,2268.8,51.087117,-0.278893
196,135.8,2283.1,51.087151,-0.278697
197,136.2,2293.8,51.087174,-0.278549
198,136.4,2306.1,51.087201,-0.278378
199,136.6,2321.3,51.08723,-0.278166
200,136.8,2332.5,51.087248,-0.27801
201,137.0,2345.1,51.087272,-0.277833
202,137.2,2357.3,51.087298,-0.277665
203,137.4,2369.9,51.087327,-0.27749
204,137.6,2381.4,51.087351,-0.277331
205,137.6,2393.5,51.087381,-0.277164
206,137.8,2405.7,51.087412,-0.276997
207,138.0,2418.3,51.08744,-0.276823
208,138.4,2432.4,51.087474,-0.276629
209,138.6,2444.7,51.087503,-0.276459
210,138.8,2457.0,51.087534,-0.276292
211,139.2,2467.8,51.08756,-0.276142
212,139.6,2481.6,51.087601,-0.275956
213,140.0,2492.0,51.087628,-0.275815
214,140.4,2504.6,51.087664,-0.275644
215,140.6,2516.4,51.087697,-0.275484
216,141.0,2528.9,51.087735,-0.275316
217,141.2,2538.7,51.087767,-0.275185
218,141.4,2551.2,51.087809,-0.27502
219,141.6,2562.8,51.087849,-0.274866
220,142.0,2574.9,51.087889,-0.274706
221,142.4,2587.3,51.087931,-0.274542
222,142.6,2599.1,51.087971,-0.274386
223,143.0,2610.8,51.088015,-0.274234
224,143.2,2622.7,51.08806,-0.27408
225,143.4,2634.5,51.088105,-0.273929
226,144.0,2646.6,51.088153,-0.273773
227,144.2,2659.4,51.088204,-0.273609
228,144.6,2673.7,51.088262,-0.273426
229,145.0,2689.4,51.088328,-0.273228
230,145.2,2699.1,51.088369,-0.273108
231,145.4,2712.3,51.088429,-0.272944
232,145.6,2722.8,51.088477,-0.272815
233,145.8,2737.8,51.088549,-0.272633
234,146.0,2751.6,51.088616,-0.272469
235,146.2,2763.9,51.088679,-0.272325
236,146.4,2778.5,51.088751,-0.272148
237,146.6,2792.2,51.08882,-0.271987
238,146.6,2805.8,51.088888,-0.271825
239,146.8,2819.8,51.088958,-0.27166
240,146.8,2833.3,51.089027,-0.271501
241,147.0,2846.6,51.089097,-0.271347
242,147.0,2860.7,51.089174,-0.271188
243,147.0,2874.0,51.089248,-0.271039
244,147.2,2888.9,51.089331,-0.270872
245,147.2,2901.5,51.089401,-0.270729
246,147.2,2915.7,51.089478,-0.270569
247,147.2,2929.8,51.089557,-0.27041
248,147.4,2944.0,51.089636,-0.270251
249,147.4,2958.5,51.089715,-0.270088
250,147.4,2973.2,51.089795,-0.26992
251,147.4,2988.1,51.089876,-0.26975
252,147.4,3002.5,51.089952,-0.269584
253,147.4,3017.2,51.090027,-0.269411
254,147.6,3033.7,51.090107,-0.269213
255,147.4,3047.2,51.090176,-0.269054
256,147.2,3061.8,51.090252,-0.268886
257,147.0,3076.9,51.09033,-0.268708
258,146.8,3091.3,51.090402,-0.268537
259,146.6,3105.6,51.090472,-0.268366
260,146.6,3120.5,51.090547,-0.268189
261,146.4,3134.6,51.090615,-0.268019
262,146.4,3148.9,51.090682,-0.267846
263,146.2,3163.1,51.090748,-0.267673
264,146.2,3177.2,51.090813,-0.2675
265,146.0,3192.0,51.09088,-0.267316
266,146.0,3204.8,51.090936,-0.267158
267,146.0,3218.8,51.090997,-0.266982
268,146.0,3232.8,51.091056,-0.266807
269,145.8,3246.6,51.091113,-0.266631
270,145.8,3260.5,51.091168,-0.266453
271,145.8,3274.5,51.091224,-0.266273
272,145.8,3287.7,51.091275,-0.266104
273,145.8,3300.6,51.091325,-0.265938
274,145.6,3313.9,51.091374,-0.265765
275,145.6,3326.8,51.091421,-0.265596
276,145.6,3340.2,51.091469,-0.26542
277,145.6,3354.4,51.09152,-0.265234
278,145.6,3366.8,51.091564,-0.265072
279,145.6,3379.9,51.091611,-0.2649
280,145.6,3393.3,51.091657,-0.264724
281,145.6,3406.6,51.091702,-0.264549
282,145.6,3419.9,51.091748,-0.264372
283,145.6,3431.9,51.091788,-0.264214
284,145.6,3446.5,51.091839,-0.264022
285,145.6,3459.8,51.091888,-0.263849
286,145.6,3472.5,51.09194,-0.263686
287,145.6,3485.2,51.092001,-0.263533
288,145.2,3497.9,51.092073,-0.263392
289,145.0,3510.7,51.09215,-0.263256
290,144.8,3524.7,51.09223,-0.263098
291,144.8,3536.2,51.092285,-0.262955
292,144.6,3549.9,51.092328,-0.262771
293,144.4,3563.2,51.092355,-0.262587
294,144.4,3576.6,51.092378,-0.262397
295,144.2,3590.1,51.092409,-0.262209
296,144.2,3612.6,51.092494,-0.261916
297,144.0,3629.6,51.092574,-0.261709
298,143.8,3642.6,51.092641,-0.261557
299,143.8,3655.3,51.092705,-0.261408
300,143.8,3668.0,51.09277,-0.261257
301,143.8,3681.0,51.092835,-0.261104
302,143.6,3693.6,51.092901,-0.260958
303,143.6,3706.1,51.092967,-0.260813
304,143.8,3718.7,51.093033,-0.260668
305,144.0,3731.1,51.093098,-0.260523
306,144.0,3744.4,51.093166,-0.260366
307,144.4,3755.6,51.093223,-0.260235
308,144.8,3767.6,51.093286,-0.260095
309,145.0,3779.9,51.09335,-0.259954
310,145.2,3792.1,51.093418,-0.259816
311,145.4,3804.2,51.093486,-0.259683
312,145.6,3816.3,51.093554,-0.259546
313,145.8,3828.6,51.093621,-0.259407
314,146.2,3840.9,51.093688,-0.259268
315,146.6,3852.8,51.093753,-0.259133
316,147.0,3866.1,51.093827,-0.258984
317,147.2,3877.1,51.093889,-0.258862
318,147.4,3888.3,51.093954,-0.258739
319,147.6,3900.1,51.094023,-0.258611
320,148.0,3911.8,51.094087,-0.258478
321,148.0,3923.7,51.094149,-0.258339
322,148.2,3936.3,51.09421,-0.258188
323,148.4,3948.8,51.094267,-0.258034
324,148.6,3961.3,51.094323,-0.257879
325,148.6,3974.2,51.09438,-0.257719
326,148.8,3988.7,51.094444,-0.257538
327,148.8,4000.0,51.09449,-0.257394
328,149.2,4013.0,51.094541,-0.257226
329,149.4,4026.7,51.09459,-0.257047
330,149.8,4041.8,51.094638,-0.256842
331,150.0,4055.2,51.094692,-0.256671
332,150.2,4067.4,51.094745,-0.25652
333,150.2,4079.6,51.094794,-0.256363
334,150.4,4092.2,51.094844,-0.256202
335,150.6,4104.6,51.094894,-0.256044
336,150.8,4117.5,51.094945,-0.255878
337,150.8,4129.0,51.094988,-0.255728
338,151.0,4141.3,51.095033,-0.255569
339,151.0,4153.1,51.095075,-0.255414
340,151.2,4164.7,51.095114,-0.255259
341,151.2,4177.2,51.095154,-0.255094
342,151.2,4188.7,51.09519,-0.254939
343,151.4,4201.4,51.095228,-0.254768
344,151.4,4213.9,51.095263,-0.254598
345,151.4,4226.7,51.095298,-0.254424
346,151.4,4239.6,51.095331,-0.254248
347,151.6,4253.5,51.095365,-0.254057
348,151.6,4265.3,51.095393,-0.253895
349,151.4,4277.0,51.095419,-0.253733
350,151.2,4290.6,51.095449,-0.253544
351,151.0,4303.8,51.095479,-0.253361
352,151.0,4319.7,51.095512,-0.253141
353,150.8,4329.3,51.095531,-0.253008
354,150.8,4342.4,51.095556,-0.252825
355,150.6,4355.8,51.09558,-0.252637
356,150.6,4372.6,51.095611,-0.252402
357,150.4,4383.1,51.095631,-0.252257
358,150.4,4397.8,51.09566,-0.252051
359,150.4,4410.2,51.095684,-0.251879
360,150.4,4422.6,51.095708,-0.251705
361,150.2,4438.1,51.095741,-0.251491
362,150.2,4452.2,51.095768,-0.251294
363,150.0,4465.7,51.095795,-0.251106
364,149.6,4479.8,51.095822,-0.25091
365,149.4,4493.5,51.095849,-0.250719
366,149.2,4507.5,51.095876,-0.250524
367,149.0,4521.9,51.095904,-0.250323
368,149.0,4536.2,51.095931,-0.250123
369,148.8,4550.6,51.095959,-0.249922
370,148.6,4564.6,51.095987,-0.249728
371,148.6,4578.8,51.096017,-0.249531
372,148.4,4594.2,51.096049,-0.249317
373,148.4,4607.0,51.096075,-0.249139
374,148.2,4620.9,51.096104,-0.248946
375,148.2,4634.8,51.096131,-0.248752
376,148.0,4649.1,51.096159,-0.248553
377,148.0,4662.6,51.096185,-0.248365
378,148.0,4676.6,51.096212,-0.24817
379,148.0,4690.9,51.09624,-0.247971
380,147.8,4704.6,51.096268,-0.247779
381,147.8,4718.3,51.096296,-0.247589
382,147.8,4732.4,51.096325,-0.247394
383,147.8,4746.0,51.096353,-0.247204
384,147.6,4758.8,51.096377,-0.247026
385,147.4,4774.1,51.096408,-0.246813
386,147.2,4789.9,51.096438,-0.246592
387,147.0,4802.1,51.096462,-0.246423
388,146.8,4815.8,51.096488,-0.246231
389,146.6,4829.2,51.096514,-0.246045
390,146.6,4842.8,51.09654,-0.245854
391,146.4,4856.6,51.096566,-0.245662
392,146.4,4870.0,51.096591,-0.245475
393,146.2,4883.3,51.096615,-0.245289
394,146.2,4896.7,51.096639,-0.245102
395,146.0,4910.1,51.096661,-0.244913
396,146.0,4923.1,51.096681,-0.244731
397,146.0,4936.6,51.0967,-0.244541
398,145.8,4949.4,51.096718,-0.24436
399,145.8,4961.2,51.096732,-0.244194
400,146.0,4974.5,51.09675,-0.244006
401,146.2,4988.0,51.096771,-0.243816
402,146.2,5001.2,51.096791,-0.243629
403,146.4,5014.5,51.096813,-0.243443
404,146.6,5027.9,51.096833,-0.243254
405,146.6,5041.4,51.096853,-0.243064
406,146.6,5055.4,51.096873,-0.242868
407,146.8,5068.2,51.096891,-0.242686
408,146.8,5082.6,51.096908,-0.242483
409,146.8,5094.2,51.096919,-0.242317
410,147.0,5107.3,51.096934,-0.242132
411,147.0,5120.4,51.09695,-0.241948
