secs,alt,distance,lat,lon
0,79.5,0.0,51.674994,-1.464381
1,79.4,11.0,51.674951,-1.464222
2,79.4,22.7,51.674912,-1.464049
3,79.3,34.9,51.674874,-1.463868
4,79.3,47.3,51.674839,-1.463688
5,79.0,60.1,51.674806,-1.463499
6,78.8,73.2,51.674776,-1.463311
7,78.6,86.7,51.67475,-1.463115
8,78.3,100.4,51.674724,-1.462908
9,78.3,114.3,51.674695,-1.462704
10,78.2,128.5,51.674666,-1.462494
11,78.1,142.9,51.674639,-1.462283
12,78.1,157.5,51.674612,-1.462074
13,78.0,172.3,51.674585,-1.461865
14,78.0,187.3,51.674556,-1.461644
15,77.9,202.5,51.674527,-1.461426
16,77.9,217.9,51.674499,-1.461195
17,77.9,233.3,51.674474,-1.460969
18,77.8,248.7,51.674444,-1.460733
19,77.8,264.1,51.674423,-1.460505
20,77.6,279.6,51.674402,-1.460277
21,77.3,295.1,51.674379,-1.460053
22,77.0,310.6,51.674358,-1.459826
23,76.7,326.1,51.674338,-1.459596
24,76.7,341.6,51.674323,-1.459365
25,76.7,357.0,51.674311,-1.459145
26,76.7,372.4,51.674296,-1.458912
27,76.6,387.9,51.674286,-1.45869
28,76.6,403.4,51.674281,-1.458473
29,76.6,418.8,51.674283,-1.458248
30,76.6,434.1,51.67429,-1.458021
31,76.7,449.2,51.674304,-1.457805
32,76.8,464.3,51.674322,-1.457584
33,76.9,479.2,51.674342,-1.457373
34,77.0,494.2,51.674371,-1.45716
35,77.0,508.9,51.674402,-1.456949
36,77.1,523.6,51.674432,-1.456746
37,77.1,538.2,51.674465,-1.456542
38,77.1,552.7,51.6745,-1.456337
39,77.2,567.4,51.674537,-1.45613
40,77.4,582.0,51.674575,-1.455924
41,77.6,596.8,51.674612,-1.455725
42,77.9,611.5,51.674649,-1.45552
43,78.3,626.3,51.674686,-1.455312
44,78.8,641.1,51.674725,-1.455104
45,79.3,655.8,51.674761,-1.454894
46,79.7,670.7,51.674798,-1.454697
47,80.0,685.4,51.674835,-1.454497
48,80.1,700.1,51.674871,-1.454302
49,80.2,714.8,51.674911,-1.454106
50,80.4,729.5,51.67495,-1.453906
51,80.5,744.3,51.674988,-1.453711
52,80.7,758.9,51.675031,-1.453502
53,80.9,773.7,51.675073,-1.453301
54,81.1,788.5,51.675118,-1.453101
55,81.4,803.2,51.67516,-1.452905
56,81.5,818.0,51.675204,-1.452697
57,81.6,832.8,51.675247,-1.452502
58,81.7,847.6,51.675289,-1.452307
59,81.8,862.3,51.675335,-1.452107
60,82.1,877.1,51.675379,-1.451907
61,82.5,891.8,51.675422,-1.451712
62,82.7,906.7,51.675467,-1.451513
63,83.0,921.6,51.675515,-1.45131
64,83.2,936.6,51.675566,-1.451107
65,83.2,951.7,51.675619,-1.450906
66,83.3,966.9,51.67567,-1.450703
67,83.4,982.2,51.675721,-1.450503
68,83.4,997.5,51.675773,-1.450296
69,83.5,1012.9,51.675822,-1.450097
70,83.6,1028.3,51.675877,-1.44989
71,83.6,1043.7,51.675932,-1.449686
72,83.7,1059.1,51.675989,-1.44948
73,83.8,1074.6,51.676043,-1.449283
74,83.8,1090.0,51.676097,-1.449079
75,83.9,1105.4,51.676151,-1.448866
76,84.0,1120.8,51.676205,-1.448664
77,84.0,1136.3,51.676262,-1.448451
78,84.1,1151.8,51.676316,-1.44825
79,84.2,1167.2,51.676375,-1.448052
80,84.2,1182.6,51.676438,-1.447845
81,84.2,1197.9,51.676498,-1.447648
82,84.2,1213.3,51.676557,-1.447453
83,84.1,1228.6,51.676615,-1.447254
84,84.0,1243.8,51.676676,-1.447058
85,83.7,1259.1,51.676732,-1.446868
86,83.5,1274.4,51.676794,-1.446664
87,83.3,1289.7,51.676854,-1.44647
88,83.0,1305.1,51.676917,-1.446277
89,83.0,1320.5,51.676985,-1.446074
90,83.0,1336.1,51.677051,-1.445874
91,83.0,1351.7,51.677117,-1.445678
92,83.1,1367.5,51.67719,-1.445475
93,83.0,1383.4,51.677267,-1.445269
94,82.9,1399.4,51.677341,-1.445073
95,82.7,1415.5,51.677414,-1.444867
96,82.6,1431.7,51.677486,-1.44467
97,82.7,1448.0,51.677561,-1.444468
98,83.1,1464.4,51.677639,-1.444263
99,83.4,1480.8,51.677717,-1.444058
100,83.7,1497.3,51.677785,-1.443865
101,84.2,1514.0,51.677867,-1.44366
102,84.7,1530.5,51.677946,-1.443461
103,85.2,1547.0,51.678023,-1.443258
104,85.5,1563.5,51.6781,-1.443055
105,85.7,1580.1,51.678175,-1.442858
106,85.7,1596.8,51.678256,-1.442656
107,85.8,1613.5,51.678338,-1.442457
108,85.9,1630.4,51.67842,-1.442253
109,86.0,1647.2,51.678498,-1.44206
110,86.3,1664.0,51.678579,-1.441852
111,86.5,1681.0,51.678658,-1.441656
112,86.8,1698.0,51.678747,-1.441445
113,87.2,1715.1,51.678835,-1.441231
114,87.3,1732.3,51.678919,-1.441026
115,87.3,1749.5,51.678999,-1.440826
116,87.2,1766.8,51.679084,-1.440628
117,87.0,1784.0,51.679178,-1.440425
118,86.6,1801.4,51.67927,-1.44023
119,86.2,1818.7,51.679372,-1.440013
120,85.6,1836.3,51.679462,-1.439809
121,85.1,1853.8,51.679559,-1.439609
122,85.2,1871.3,51.679655,-1.439402
123,85.4,1888.9,51.679747,-1.439199
124,85.5,1906.6,51.679841,-1.439007
125,85.5,1924.1,51.679942,-1.438808
126,85.3,1941.6,51.680039,-1.438613
127,85.0,1959.2,51.680133,-1.43842
128,84.6,1976.7,51.680231,-1.438214
129,84.2,1994.1,51.680323,-1.438016
130,83.9,2011.5,51.680416,-1.437816
131,83.7,2028.9,51.680504,-1.437612
132,83.6,2046.3,51.680587,-1.437409
133,83.5,2063.8,51.680677,-1.437201
134,83.3,2081.1,51.680768,-1.436992
135,83.0,2098.6,51.680853,-1.43679
136,82.7,2115.9,51.680938,-1.436587
137,82.3,2133.1,51.681025,-1.436381
138,81.9,2150.3,51.681102,-1.436167
139,81.6,2167.5,51.681176,-1.435945
140,81.4,2184.7,51.681249,-1.435729
141,81.1,2201.8,51.681325,-1.43551
142,80.9,2218.9,51.681399,-1.435302
143,80.6,2235.8,51.681468,-1.435094
144,80.4,2252.7,51.681541,-1.434883
145,80.1,2269.5,51.681616,-1.434679
146,80.0,2286.3,51.681704,-1.434475
147,80.0,2303.1,51.681782,-1.434271
148,80.0,2319.9,51.681854,-1.434054
149,80.0,2336.8,51.681923,-1.433838
150,79.9,2353.7,51.681994,-1.43362
151,79.6,2370.5,51.68206,-1.433403
152,79.4,2387.2,51.682126,-1.433181
153,79.3,2403.9,51.68219,-1.432964
154,79.6,2420.6,51.682252,-1.432734
155,79.9,2437.3,51.682313,-1.432516
156,80.2,2454.0,51.682373,-1.432295
157,80.4,2470.6,51.682432,-1.432072
158,80.6,2487.2,51.682483,-1.43186
159,80.8,2503.8,51.682537,-1.431634
160,80.9,2520.3,51.682593,-1.431412
161,81.0,2536.7,51.682648,-1.43119
162,81.0,2553.1,51.682698,-1.430963
163,81.0,2569.6,51.682747,-1.430735
164,81.0,2586.2,51.682796,-1.43051
165,81.0,2602.8,51.682845,-1.430283
166,81.0,2619.4,51.682893,-1.430052
167,81.0,2635.7,51.682942,-1.429838
168,81.1,2652.0,51.682986,-1.42961
169,81.1,2668.2,51.683029,-1.429387
170,81.2,2684.3,51.683067,-1.429162
171,81.2,2700.4,51.683108,-1.428947
172,81.3,2716.5,51.683154,-1.428735
173,81.3,2732.5,51.683193,-1.428524
174,81.4,2748.3,51.683231,-1.428307
175,81.4,2764.0,51.68327,-1.42809
176,81.5,2779.9,51.68331,-1.427883
177,81.7,2795.7,51.683347,-1.427659
178,81.8,2811.5,51.683379,-1.427431
179,81.9,2827.1,51.683407,-1.427202
180,82.0,2842.8,51.683434,-1.426988
181,82.1,2858.6,51.683466,-1.426775
182,82.2,2874.5,51.683501,-1.426567
183,82.2,2890.4,51.68353,-1.426344
184,82.2,2906.3,51.683559,-1.426126
185,82.2,2922.4,51.683588,-1.425896
186,82.2,2938.3,51.683616,-1.425684
187,82.1,2954.2,51.683653,-1.425468
188,82.3,2970.2,51.683686,-1.425246
189,82.5,2986.2,51.68372,-1.425033
190,82.7,3002.1,51.683751,-1.424816
191,83.0,3018.0,51.683781,-1.424588
192,83.1,3033.9,51.683811,-1.424373
193,83.1,3049.9,51.683843,-1.424153
194,83.1,3065.8,51.68387,-1.423929
195,83.2,3081.8,51.683902,-1.423707
196,83.5,3097.8,51.683932,-1.423487
