secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
44,0,108,0.175,30.0996,0,0,75,-1.10494,51.7056,0,-2.66667,31,0,50,0,0,0,0,0,0,0,0
45,0,107,0.184,30.4992,0,0,75,-1.10502,51.7056,0,-2.66667,31,0,50,0,0,0,0,0,0,0,0
46,0,106,0.192,29.0988,0,0,75,-1.1051,51.7055,0,-2.66667,31,0,50,0,0,0,0,0,0,0,0
47,0,104,0.199,25.8984,0,0,75,-1.10518,51.7055,0,-2.66667,31,0,50,0,0,0,0,0,0,0,0
48,0,103,0.207,25.2972,0,0,75,-1.10525,51.7054,0,-1.66667,31,0,50,0,0,0,0,0,0,0,0
49,74,102,0.213,26.1,0,124,75,-1.10531,51.7054,0,-1.66667,31,0,50,0,0,0,0,0,0,0,0
50,77,101,0.219,27.2988,0,167,74,-1.10538,51.7053,0,-3.33333,31,0,50,0,0,0,0,0,0,0,0
51,82,99,0.23,28.998,0,137,74,-1.10542,51.7052,0,-3.33333,31,0,50,0,0,0,0,0,0,0,0
52,86,98,0.234,30.0996,0,196,74,-1.10545,51.7052,0,-3.33333,31,0,50,0,0,0,0,0,0,0,0
53,88,97,0.247,31.1976,0,136,74,-1.10547,51.7051,0,-1.66667,31,0,50,0,0,0,0,0,0,0,0
54,77,96,0.253,31.698,0,53,74,-1.10549,51.705,0,-1.66667,31,0,50,0,0,0,0,0,0,0,0
55,36,96,0.261,31.7988,0,7,74,-1.10551,51.7049,0,-1.66667,31,0,50,0,0,0,0,0,0,0,0
56,75,96,0.272,32.0976,0,42,74,-1.10553,51.7048,0,-1.66667,31,0,50,0,0,0,0,0,0,0,0
57,75,96,0.282,31.5972,0,42,74,-1.10555,51.7048,0,-1.66667,31,0,50,0,0,0,0,0,0,0,0
58,75,96,0.293,31.5972,0,42,73,-1.10556,51.7047,0,-2.57576,31,0,50,0,0,0,0,0,0,0,0
59,75,97,0.301,31.7988,0,42,73,-1.10557,51.7046,0,-2.57576,31,0,50,0,0,0,0,0,0,0,0
60,0,98,0.31,31.9968,0,0,73,-1.10559,51.7045,0,-0.909091,31,0,50,0,0,0,0,0,0,0,0
61,88,97,0.318,32.4972,0,55,73,-1.1056,51.7044,0,-0.909091,31,0,50,0,0,0,0,0,0,0,0
62,40,97,0.326,32.2992,0,4,73,-1.10561,51.7043,0,-0.909091,31,0,50,0,0,0,0,0,0,0,0
