secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
1,0,72,0.00367,13.2012,0,0,227,11.7616,45.8099,0,0,20,0,0,0,0,0,0,0,0,0,0
2,0,72,0.00773,14.6448,0,0,227,11.7616,45.8099,0,0,20,0,0,0,0,0,0,0,0,0,0
3,0,72,0.01221,16.1244,0,0,227,11.7617,45.8098,0,0,20,0,0,0,0,0,0,0,0,0,0
4,10,72,0.01706,17.4672,0,50,227,11.7618,45.8098,0,0,20,0,0,0,0,0,0,0,0,0,0
5,10,71,0.02249,19.5156,0,0,227,11.7618,45.8098,0,0,20,0,0,0,0,0,0,0,0,0,0
6,0,71,0.02848,21.564,0,0,224.2,11.7619,45.8098,0,0,20,0,0,0,0,0,0,0,0,0,0
7,0,72,0.03488,23.0436,0,0,224.2,11.7619,45.8098,0,0,20,0,0,0,0,0,0,0,0,0,0
8,0,71,0.04168,24.4872,0,0,223.8,11.762,45.8098,0,-5.88235,20,0,0,0,0,0,0,0,0,0,0
9,0,72,0.0488,25.6284,0,0,223.2,11.7621,45.8097,0,-8.42697,20,0,0,0,0,0,0,0,0,0,0
10,0,72,0.05634,27.1404,0,0,222.8,11.7621,45.8097,0,-1.96144,20,0,0,0,0,0,0,0,0,0,0
11,9,72,0.06418,28.2168,0,70,222.2,11.7622,45.8096,0,-2.72674,20,0,0,0,0,0,0,0,0,0,0
12,64,72,0.07241,29.628,0,21,221.6,11.7622,45.8096,0,-3.45578,20,0,0,52.5,27,24,8,0,0,0,0
13,65,73,0.08106,31.1724,0,80,220.6,11.7622,45.8095,0,-4.61185,20,0,44,46.5,51,13.5,15.5,0,0,0,0
14,65,73,0.09008,32.4468,0,85,220,11.7623,45.8094,0,-5.27704,20,0,44,50.5,47,15,14.5,0,0,0,0
15,71,74,0.09945,33.7248,0,85,219.4,11.7623,45.8094,0,-5.91738,20,0,51,50.5,47,15,14.5,0,0,0,0
16,76,74,0.109,34.398,0,110,218.8,11.7624,45.8093,0,-6.54565,20,0,51,48,57,15,19,0,0,0,0
17,63,74,0.11881,35.3052,0,49,218.2,11.7624,45.8092,0,-7.15727,20,0,51,48,38.5,15,13,0,0,0,0
18,61,74,0.1288,35.9748,0,80,217.8,11.7625,45.8091,0,-6.96944,20,0,45,48,38.5,15,13,0,0,0,0
19,48,75,0.13901,36.7488,0,92,217.2,11.7625,45.8091,0,-6.7144,20,0,45,47.5,71,15,28.5,0,0,0,0
20,65,75,0.14956,37.9908,0,8,216.4,11.7626,45.809,0,-6.94219,20,0,37,47.5,57.5,15,19,0,0,0,0
21,66,76,0.16022,38.3616,0,109,216,11.7626,45.8089,0,-6.55212,20,0,50,31.5,58.5,9.5,18,0,0,0,0
22,67,77,0.17109,39.132,0,120,215.4,11.7627,45.8088,0,-6.37506,20,0,50,60,62,18.5,20.5,0,0,0,0
23,67,77,0.18211,39.636,0,123,214.8,11.7628,45.8087,0,-5.76345,20,0,50,60,60.5,18,19.5,0,0,0,0
24,69,78,0.19333,40.4424,0,130,216.6,11.7628,45.8086,0,-3.49399,20,0,51,61.5,62.5,19.5,20,0,0,0,0
25,69,78,0.20482,41.3172,0,121,217.2,11.7629,45.8085,0,-2.33145,20,0,50,59,59,18,18,0,0,0,0
26,73,79,0.21641,41.7528,0,118,217.2,11.763,45.8085,0,-1.70318,20,0,50,57,57.5,17.5,18,0,0,0,0
27,71,79,0.22813,42.2244,0,111,217,11.763,45.8084,0,-1.26221,20,0,51,54.5,55.5,16.5,16.5,0,0,0,0
28,72,79,0.23993,42.4584,0,113,216.8,11.7631,45.8083,0,-1.0313,20,0,60,59.5,49,18.5,15.5,0,0,0,0
29,76,80,0.25166,42.2244,0,104,216.4,11.7632,45.8082,0,-0.784646,20,0,60,50,53.5,14,16,0,0,0,0
30,74,80,0.26336,42.1236,0,74,216,11.7632,45.8081,0,-0.368232,20,0,53,48,44,14,13,0,0,0,0
31,74,81,0.27509,42.2244,0,60,215.4,11.7633,45.808,0,-0.504506,20,0,61,41.5,33,12,9.5,0,0,0,0
32,75,81,0.28672,41.886,0,60,214.8,11.7634,45.8079,0,-0.468436,20,0,55,44,33.5,13.5,10.5,0,0,0,0
33,73,82,0.29826,41.5512,0,0,214.6,11.7634,45.8078,0,-0.0972813,20,0,55,0,0,0,0,0,0,0,0
34,73,81,0.30975,41.3496,0,0,214.2,11.7635,45.8077,0,-2.04969,20,0,55,0,0,0,0,0,0,0,0
35,73,82,0.32099,40.4748,0,0,213.8,11.7636,45.8076,0,-2.92775,20,0,55,0,0,0,0,0,0,0,0
36,0,81,0.33218,40.2768,0,0,213.6,11.7636,45.8075,0,-3.10648,20,0,0,0,0,0,0,0,0,0,0
37,0,81,0.34337,40.2768,0,0,212.8,11.7637,45.8074,0,-3.65076,20,0,0,0,0,0,0,0,0,0,0
38,0,81,0.35432,39.4344,0,0,212.2,11.7638,45.8073,0,-4.02921,20,0,0,0,0,0,0,0,0,0,0
39,0,81,0.36462,37.0836,0,0,211.8,11.7638,45.8072,0,-4.07656,20,0,0,0,0,0,0,0,0,0,0
40,0,80,0.37448,35.4708,0,0,211.6,11.7639,45.8072,0,-3.93752,20,0,0,0,0,0,0,0,0,0,0
41,0,79,0.38424,35.136,0,0,211.2,11.7639,45.8071,0,-3.83584,20,0,0,0,0,0,0,0,0,0,0
42,0,79,0.39404,35.3052,0,0,210.6,11.764,45.807,0,-3.93218,20,0,0,0,0,0,0,0,0,0,0
43,6,79,0.40383,35.2368,0,26,210.2,11.764,45.8069,0,-4.16745,20,0,0,0,0,0,0,0,0,0,0
44,6,78,0.41354,34.9344,0,0,210,11.7641,45.8068,0,-4.0253,20,0,0,0,0,0,0,0,0,0,0
45,6,78,0.42319,34.7652,0,0,209.8,11.7641,45.8068,0,-3.87668,20,0,0,0,0,0,0,0,0,0,0
46,0,78,0.43299,35.2368,0,0,209.4,11.7642,45.8067,0,-4.10611,20,0,0,0,0,0,0,0,0,0,0
47,11,78,0.44291,35.7408,0,29,209.2,11.7643,45.8066,0,-3.5928,20,0,0,79,84.5,29.5,29.5,0,0,0,0
48,62,78,0.45288,35.91,0,106,209.2,11.7643,45.8065,0,-3.04485,20,0,46,79,84.5,29.5,29.5,0,0,0,0
49,63,78,0.46286,35.91,0,87,209,11.7644,45.8065,0,-2.8569,20,0,46,52.5,53.5,16,17,0,0,0,0
