secs,altitude,distance,lat,lon
0,1506.2,0.0,46.552299,11.874433
1,1506.6,26.5,46.55207,11.874339
2,1507.0,33.1,46.552012,11.874311
3,1507.4,39.6,46.551956,11.874286
4,1508.0,46.1,46.551899,11.874262
5,1508.4,52.7,46.551842,11.874237
6,1508.4,59.3,46.551783,11.874216
7,1508.8,105.5,46.55142,11.874132
8,1509.2,112.0,46.551371,11.874129
9,1509.6,118.4,46.551315,11.87413
10,1510.0,124.9,46.551262,11.874129
11,1510.4,131.3,46.551203,11.874129
12,1510.4,150.4,46.551025,11.874135
13,1511.0,156.8,46.550958,11.874151
14,1511.4,163.1,46.550891,11.874174
15,1512.0,169.3,46.550827,11.874195
16,1512.4,175.6,46.550766,11.874211
17,1512.8,181.8,46.550707,11.874226
18,1512.8,194.2,46.550598,11.874258
19,1512.8,200.1,46.550549,11.874267
20,1513.4,217.4,46.550398,11.874315
21,1513.8,223.1,46.550355,11.874329
22,1514.2,228.9,46.550306,11.874345
23,1514.8,234.7,46.550255,11.87436
24,1515.2,240.6,46.550208,11.874377
25,1515.2,246.4,46.550154,11.874397
26,1515.2,257.8,46.550053,11.874419
27,1515.6,269.3,46.549953,11.874433
28,1516.0,275.4,46.549896,11.87445
29,1516.4,281.3,46.549852,11.874461
30,1516.8,287.2,46.549794,11.874487
31,1517.4,293.1,46.549749,11.8745
32,1517.8,298.9,46.5497,11.874528
33,1518.2,304.7,46.549649,11.87455
34,1518.6,310.5,46.5496,11.874568
35,1519.0,316.2,46.549552,11.874571
36,1519.4,321.8,46.549501,11.874593
37,1519.4,332.9,46.549402,11.87461
38,1519.4,338.4,46.549356,11.874619
39,1519.8,343.7,46.549299,11.874629
40,1520.2,349.2,46.549251,11.874639
41,1520.8,354.6,46.549211,11.874665
42,1521.2,360.0,46.549162,11.874678
43,1521.8,365.5,46.549122,11.874695
44,1522.2,381.5,46.549008,11.874743
45,1522.8,386.7,46.548969,11.874763
46,1523.2,391.7,46.548921,11.874787
47,1523.8,397.0,46.548882,11.874806
48,1524.2,402.1,46.548859,11.874813
49,1524.2,407.4,46.548808,11.874835
50,1524.8,422.5,46.548684,11.874878
51,1525.2,427.7,46.548642,11.874882
52,1525.6,432.6,46.548597,11.874897
53,1526.0,437.8,46.548551,11.874913
54,1526.6,442.8,46.54851,11.874929
55,1527.0,447.9,46.548464,11.874951
56,1527.6,452.8,46.548426,11.874959
57,1528.2,457.9,46.548385,11.874979
58,1528.6,462.8,46.548343,11.874997
59,1528.6,467.8,46.548295,11.875027
60,1528.6,483.0,46.548188,11.875081
61,1529.0,488.2,46.548158,11.875093
62,1529.4,493.2,46.54813,11.875091
63,1529.8,498.3,46.548089,11.875098
64,1530.2,503.3,46.548042,11.875111
65,1530.6,508.4,46.548002,11.875129
66,1531.2,513.3,46.547958,11.87515
67,1531.6,518.4,46.547926,11.87517
68,1532.0,523.3,46.547886,11.875209
69,1532.6,528.3,46.547871,11.875233
70,1533.0,533.2,46.547869,11.87527
71,1533.0,543.0,46.547909,11.875246
72,1533.4,547.9,46.547895,11.875249
73,1533.8,552.6,46.54786,11.875275
74,1534.2,557.2,46.547797,11.875256
75,1534.6,561.7,46.547728,11.875235
76,1535.2,566.3,46.547664,11.875211
77,1535.6,575.7,46.547572,11.875129
78,1536.0,580.3,46.547524,11.875107
79,1536.4,585.0,46.547473,11.875085
80,1537.0,589.8,46.547416,11.875064
81,1537.4,594.7,46.547363,11.875039
82,1537.4,599.5,46.547302,11.875019
83,1537.8,604.3,46.54725,11.875001
84,1538.2,608.9,46.547195,11.874994
85,1538.6,613.7,46.547142,11.874991
86,1539.0,618.6,46.547091,11.875002
87,1539.4,623.5,46.547036,11.875014
88,1539.4,628.4,46.546989,11.875034
89,1539.4,638.0,46.546903,11.8751
90,1539.8,642.7,46.546868,11.875145
91,1540.2,647.4,46.546836,11.875206
92,1540.8,652.2,46.546818,11.875268
93,1541.2,657.0,46.546812,11.875334
94,1541.6,661.8,46.546814,11.875402
95,1541.6,671.4,46.546844,11.875516
96,1542.0,676.2,46.546889,11.875557
97,1542.4,681.1,46.546918,11.875602
98,1543.0,686.1,46.546947,11.875642
99,1543.4,690.9,46.546984,11.875671
100,1543.8,695.8,46.547013,11.875713
101,1544.4,705.2,46.547044,11.875831
102,1544.8,709.9,46.54705,11.875896
103,1545.2,714.6,46.54703,11.875948
104,1545.6,719.4,46.546998,11.876005
105,1546.0,724.2,46.54696,11.876051
106,1546.4,738.8,46.54683,11.876151
107,1547.0,743.8,46.546784,11.876187
108,1547.4,748.9,46.546742,11.876222
109,1547.8,754.0,46.546707,11.876257
110,1548.2,759.2,46.546673,11.876282
111,1548.2,764.4,46.546637,11.876299
112,1548.2,769.6,46.546594,11.876311
113,1548.2,791.4,46.54641,11.876293
114,1548.8,802.7,46.546309,11.876231
115,1549.2,808.3,46.546256,11.876181
116,1549.8,813.8,46.546211,11.87614
117,1550.2,819.4,46.546161,11.876089
118,1550.6,824.9,46.546112,11.876056
119,1550.6,830.3,46.546074,11.876012
120,1551.2,846.2,46.546017,11.875825
121,1551.6,851.3,46.546017,11.875743
122,1552.2,856.3,46.546005,11.875669
123,1552.6,861.6,46.546,11.87559
124,1553.0,866.2,46.545996,11.875534
125,1553.4,871.4,46.545987,11.875462
126,1553.8,876.1,46.545983,11.875399
127,1554.2,880.5,46.54598,11.875351
128,1554.6,885.5,46.545973,11.875277
129,1555.0,890.1,46.545959,11.875223
130,1555.6,894.3,46.545936,11.875184
131,1556.0,898.9,46.545912,11.875149
132,1556.4,903.5,46.54586,11.87515
133,1556.8,907.9,46.545821,11.875146
134,1557.2,912.5,46.545774,11.875187
135,1557.2,921.6,46.545738,11.875297
136,1557.6,926.5,46.545736,11.875377
137,1558.0,930.7,46.545735,11.875425
138,1558.4,935.3,46.545733,11.87549
139,1558.8,940.1,46.545731,11.875564
140,1559.2,944.2,46.545729,11.875622
141,1559.8,954.0,46.54569,11.87578
142,1560.2,958.6,46.545678,11.875848
143,1560.6,963.0,46.545673,11.875905
144,1561.0,967.6,46.545659,11.875966
145,1561.4,972.2,46.545648,11.876023
146,1561.8,981.9,46.5456,11.876074
147,1562.2,986.4,46.545568,11.876075
148,1562.6,991.0,46.545546,11.876053
149,1563.2,995.2,46.545515,11.876034
150,1563.8,999.0,46.545482,11.875997
151,1564.4,1002.8,46.545443,11.87596
152,1565.0,1006.4,46.545423,11.875931
