secs,altitude,distance,lat,lon
0,1.5,0.0,51.45369,-0.257406
1,2.3,4.8,51.45368,-0.257473
2,3.1,17.1,51.453635,-0.257635
3,3.4,40.4,51.45354,-0.257934
4,2.8,71.7,51.453405,-0.258331
5,2.1,105.2,51.453258,-0.258752
6,1.4,142.5,51.453109,-0.259233
7,1.6,181.2,51.452974,-0.259748
8,2.7,224.1,51.452841,-0.260329
9,3.7,270.4,51.452708,-0.260961
10,4.0,318.3,51.452576,-0.261618
11,4.5,363.2,51.452458,-0.262238
12,4.4,405.4,51.452351,-0.262821
13,4.5,443.7,51.452257,-0.263352
14,5.3,476.5,51.452179,-0.263809
15,6.1,506.2,51.452114,-0.264224
16,6.7,536.2,51.452052,-0.264645
17,7.5,565.0,51.451996,-0.26505
18,8.2,598.2,51.45194,-0.265521
19,8.6,636.6,51.451897,-0.26607
20,8.6,676.7,51.451877,-0.266647
21,8.2,717.6,51.451879,-0.267237
22,7.4,759.5,51.451893,-0.267841
23,7.2,801.9,51.451902,-0.268451
24,7.7,848.6,51.451891,-0.269125
25,8.7,897.2,51.451861,-0.269824
26,9.8,941.8,51.451821,-0.270464
27,10.5,979.5,51.451777,-0.271002
28,11.4,1011.4,51.451734,-0.271457
29,11.8,1040.3,51.451691,-0.271868
30,12.4,1071.3,51.451641,-0.272308
31,13.5,1105.4,51.451584,-0.272791
32,14.3,1142.0,51.451519,-0.273309
33,14.6,1181.6,51.451443,-0.273866
34,15.0,1223.8,51.451353,-0.274458
35,15.1,1266.9,51.451252,-0.275058
36,15.3,1310.2,51.451143,-0.275656
37,15.8,1349.1,51.451039,-0.276192
38,16.0,1383.8,51.450943,-0.276667
39,16.3,1417.4,51.450848,-0.277128
40,16.6,1450.1,51.450756,-0.277575
41,17.3,1481.4,51.450666,-0.278003
42,18.1,1511.3,51.45058,-0.278412
43,18.8,1537.3,51.450504,-0.278766
44,20.0,1560.2,51.450435,-0.279077
45,21.0,1582.4,51.450367,-0.279378
46,21.8,1603.1,51.450301,-0.279657
47,22.7,1624.8,51.450228,-0.279947
48,23.3,1646.8,51.450154,-0.28024
49,23.8,1668.5,51.450079,-0.280531
50,24.4,1690.7,51.45,-0.280824
51,25.0,1715.7,51.449905,-0.281151
52,25.5,1744.1,51.44979,-0.281515
53,26.4,1776.7,51.44965,-0.28193
54,27.8,1808.5,51.449508,-0.282327
55,28.8,1836.0,51.449382,-0.282669
56,29.4,1857.9,51.449281,-0.282938
57,30.2,1874.9,51.449202,-0.283149
58,30.6,1888.3,51.449141,-0.283315
59,30.7,1899.9,51.449091,-0.283462
60,31.6,1910.9,51.449046,-0.283603
61,32.0,1921.2,51.449007,-0.283739
62,32.9,1931.4,51.448972,-0.283874
63,34.1,1941.9,51.448937,-0.284015
64,36.2,1953.8,51.448901,-0.284177
65,37.0,1966.7,51.448866,-0.284354
66,38.1,1980.6,51.448833,-0.284547
67,38.6,1995.2,51.448804,-0.284752
68,39.3,2009.7,51.448782,-0.284958
69,39.8,2024.7,51.448765,-0.285172
70,40.9,2041.1,51.448752,-0.285408
71,41.5,2059.4,51.448741,-0.285672
72,42.5,2078.1,51.448732,-0.28594
73,43.7,2097.4,51.448723,-0.286218
74,44.7,2128.3,51.448718,-0.286663
75,45.4,2157.4,51.448714,-0.287083
76,45.7,2188.0,51.448716,-0.287524
77,45.8,2219.1,51.448727,-0.287972
78,45.6,2248.9,51.44875,-0.288401
79,45.3,2277.4,51.448782,-0.288809
80,44.6,2313.7,51.448823,-0.289327
81,43.9,2343.2,51.448864,-0.289747
82,43.4,2373.8,51.448912,-0.290181
83,43.4,2402.1,51.448961,-0.290582
84,44.0,2431.3,51.449016,-0.290995
85,44.8,2462.4,51.44908,-0.291431
86,45.2,2497.9,51.449161,-0.291926
87,45.4,2535.8,51.449254,-0.292451
88,44.9,2575.5,51.449357,-0.292999
89,44.2,2610.0,51.449452,-0.293473
90,43.9,2640.5,51.44954,-0.29389
91,43.4,2667.7,51.449621,-0.294259
92,43.1,2691.7,51.449692,-0.294585
93,42.2,2711.2,51.449747,-0.294853
94,42.0,2726.9,51.449786,-0.295071
95,41.2,2738.0,51.4498,-0.295229
96,41.5,2746.9,51.449744,-0.295321
97,42.0,2756.1,51.449668,-0.295371
98,42.8,2766.8,51.449571,-0.295366
99,42.6,2780.4,51.449454,-0.295312
100,43.5,2795.4,51.449328,-0.295235
101,43.4,2812.9,51.449181,-0.295147
102,44.1,2838.5,51.448963,-0.295029
103,44.9,2864.2,51.448742,-0.294921
104,45.7,2889.0,51.448526,-0.294836
105,46.4,2914.9,51.448296,-0.294776
106,47.4,2940.1,51.448071,-0.294744
107,47.6,2964.9,51.447848,-0.294724
108,48.3,2989.6,51.447626,-0.294707
109,48.4,3010.2,51.447442,-0.294694
110,48.7,3027.9,51.447282,-0.294682
111,48.9,3047.3,51.447108,-0.294665
112,49.3,3072.2,51.446886,-0.294623
113,49.2,3099.7,51.446642,-0.29456
114,49.8,3129.8,51.446378,-0.294467
115,50.2,3158.4,51.446131,-0.294355
116,50.9,3184.2,51.44591,-0.294243
117,51.2,3208.4,51.445703,-0.294138
118,51.2,3239.2,51.445438,-0.294005
119,51.0,3267.9,51.445193,-0.293877
120,50.9,3291.3,51.444994,-0.293769
121,50.8,3314.9,51.444796,-0.293647
122,50.9,3337.3,51.444612,-0.293516
123,50.7,3364.5,51.444387,-0.293361
124,50.1,3397.3,51.444115,-0.293182
125,49.2,3427.1,51.443864,-0.293033
126,49.3,3450.4,51.443661,-0.292945
127,49.1,3472.8,51.443463,-0.292887
128,48.9,3495.3,51.443262,-0.292849
129,48.6,3520.1,51.443042,-0.292806
130,47.7,3543.7,51.442831,-0.292765
131,46.8,3565.0,51.442642,-0.292718
132,46.3,3584.9,51.442466,-0.292661
133,45.7,3605.8,51.442286,-0.292578
134,44.6,3630.5,51.442078,-0.292457
135,43.4,3658.9,51.441842,-0.292296
136,41.6,3690.0,51.441588,-0.292115
137,40.5,3720.5,51.441336,-0.291937
138,39.3,3750.2,51.441091,-0.29177
139,38.7,3779.6,51.440845,-0.291613
140,37.8,3809.4,51.440595,-0.291462
141,36.9,3839.5,51.44034,-0.291315
142,35.7,3868.4,51.440093,-0.291188
143,34.6,3894.3,51.439867,-0.291096
144,34.1,3920.1,51.43964,-0.29103
145,33.8,3946.0,51.439408,-0.290991
146,33.5,3974.8,51.43915,-0.290969
147,33.0,4005.0,51.438878,-0.290957
148,32.5,4034.8,51.43861,-0.290952
149,31.3,4062.7,51.43836,-0.290957
150,30.1,4090.0,51.438115,-0.290964
151,29.6,4113.7,51.437902,-0.290973
152,28.9,4136.3,51.437699,-0.290971
153,28.4,4157.4,51.43751,-0.29095
154,28.7,4173.8,51.437364,-0.29092
155,28.3,4192.9,51.437198,-0.290849
156,28.0,4212.2,51.437033,-0.290762
157,28.0,4232.6,51.436867,-0.29064
158,28.0,4253.6,51.436699,-0.290498
159,28.3,4280.4,51.436496,-0.290291
160,28.5,4308.6,51.436289,-0.290058
161,27.9,4342.7,51.436035,-0.289782
162,27.4,4376.1,51.435786,-0.289514
163,26.6,4410.9,51.435525,-0.289236
164,26.3,4445.6,51.435264,-0.288962
165,25.7,4484.7,51.434968,-0.288661
166,25.0,4521.2,51.434688,-0.288387
167,24.4,4554.4,51.434429,-0.288149
168,23.9,4585.8,51.43418,-0.287934
169,23.2,4614.6,51.433952,-0.28774
170,22.7,4647.4,51.433692,-0.287518
171,21.8,4674.4,51.433479,-0.287331
172,21.4,4697.3,51.433297,-0.287178
173,21.7,4713.8,51.433163,-0.287076
174,21.8,4729.2,51.433032,-0.287003
175,21.9,4746.5,51.432879,-0.286958
176,21.9,4769.0,51.432679,-0.286913
177,20.9,4787.9,51.432509,-0.286918
178,20.4,4806.9,51.43234,-0.286948
179,20.3,4824.1,51.432197,-0.287043
180,19.9,4842.4,51.43206,-0.287189
181,19.8,4863.4,51.431911,-0.287374
182,20.1,4885.7,51.431757,-0.28758
183,20.2,4905.3,51.431621,-0.287761
184,20.8,4920.4,51.431515,-0.287897
185,22.0,4933.3,51.431422,-0.288006
186,22.3,4944.9,51.431333,-0.288096
187,22.4,4956.8,51.431241,-0.288179
188,22.3,4971.5,51.43112,-0.288266
189,22.1,4987.4,51.430984,-0.288334
190,21.9,5003.0,51.430845,-0.288376
191,22.4,5018.9,51.430704,-0.288401
192,22.7,5041.0,51.430506,-0.288378
193,23.2,5059.1,51.430344,-0.288345
194,23.3,5081.0,51.430152,-0.288281
195,22.5,5103.8,51.429953,-0.288202
196,22.1,5126.0,51.429758,-0.288128
197,21.9,5149.7,51.429549,-0.288073
198,21.8,5183.9,51.429243,-0.288012
199,22.0,5218.0,51.428938,-0.287968
200,22.3,5261.4,51.428555,-0.287859
201,22.4,5294.9,51.428261,-0.287753
202,22.8,5326.4,51.427992,-0.287616
203,22.9,5352.3,51.427773,-0.287484
204,22.7,5379.1,51.427543,-0.28737
205,22.5,5407.6,51.427296,-0.287264
206,22.4,5440.3,51.427015,-0.287127
207,22.7,5468.7,51.426775,-0.286988
208,22.8,5504.3,51.42648,-0.286789
209,23.0,5542.5,51.426164,-0.286574
210,23.1,5586.0,51.425793,-0.286373
211,22.8,5628.0,51.425428,-0.286222
212,22.4,5662.3,51.425125,-0.286134
213,21.5,5692.2,51.424858,-0.28608
214,20.4,5717.7,51.424631,-0.286044
215,19.9,5745.3,51.424384,-0.285999
216,19.4,5777.3,51.424099,-0.285949
217,19.8,5809.5,51.42381,-0.285903
218,20.4,5840.0,51.423537,-0.285877
219,21.1,5863.7,51.423324,-0.285864
220,21.4,5883.8,51.423143,-0.285879
221,21.3,5901.9,51.422982,-0.285905
222,21.0,5917.8,51.422841,-0.285939
223,21.1,5931.7,51.422717,-0.285973
224,21.0,5947.4,51.422578,-0.286011
225,21.4,5960.2,51.422465,-0.286045
226,21.1,5976.2,51.422324,-0.286086
227,20.7,5991.9,51.422185,-0.286128
228,20.3,6006.0,51.422061,-0.286165
229,19.7,6017.1,51.421961,-0.286162
230,19.2,6025.9,51.421882,-0.286166
231,18.9,6033.1,51.42185,-0.286075
232,18.4,6041.2,51.421842,-0.28596
233,18.7,6051.2,51.42186,-0.285818
234,18.9,6063.9,51.4219,-0.285647
235,19.2,6077.5,51.421939,-0.285461
236,19.8,6087.6,51.421972,-0.285326
237,20.5,6100.1,51.422009,-0.285155
238,21.0,6110.8,51.422038,-0.285008
239,21.8,6122.5,51.422068,-0.284847
240,21.9,6136.4,51.422104,-0.284655
241,22.5,6150.8,51.422144,-0.284458
242,22.7,6164.7,51.422185,-0.284268
243,23.1,6177.7,51.422229,-0.284095
244,24.5,6190.4,51.422278,-0.28393
245,25.9,6202.3,51.422329,-0.283779
246,26.9,6213.6,51.422381,-0.283639
247,27.9,6223.1,51.422427,-0.283524
248,28.8,6231.3,51.422467,-0.283426
249,29.0,6238.1,51.4225,-0.283343
250,29.8,6244.5,51.422531,-0.283264
251,30.5,6250.7,51.422559,-0.283188
252,31.0,6257.9,51.422589,-0.283096
253,31.5,6265.4,51.422614,-0.282996
254,33.0,6275.7,51.422636,-0.282852
255,33.6,6290.6,51.422653,-0.282638
256,34.7,6310.1,51.422666,-0.282358
257,36.0,6330.9,51.422676,-0.28206
258,36.9,6350.0,51.422684,-0.281784
259,37.2,6364.8,51.42269,-0.281572
260,37.0,6375.7,51.4227,-0.281415
261,37.7,6385.4,51.422716,-0.281277
262,38.2,6395.0,51.42274,-0.281145
263,39.9,6403.9,51.422768,-0.281024
264,41.0,6412.2,51.422798,-0.280916
265,41.9,6420.6,51.422838,-0.280812
266,42.3,6429.3,51.422888,-0.280717
