secs,altitude,distance,lat,lon
0,102.72,0.0,51.223150000000004,-0.7180200000000001
1,101.47,35.01118220778076,51.223180000000006,-0.71852
2,99.83,62.29501443559822,51.22326,-0.71889
3,99.0,99.68619750245978,51.22341,-0.7193700000000001
4,99.0,109.16008036303596,51.22346,-0.71948
5,99.0,117.52283503401169,51.22343000000001,-0.7195900000000001
6,98.24000000000001,157.10334214868863,51.22332,-0.72013
7,98.45,212.79783251225035,51.22324500269452,-0.7209200009148541
8,98.0,268.49237538207865,51.22317,-0.7217100000000001
9,97.34,338.3170774078607,51.223040000000005,-0.72269
10,96.06,388.56835377873654,51.22292000203518,-0.7233850019444721
11,93.75000000000001,438.8196109773363,51.22280000000001,-0.7240800000000001
12,90.65,486.3623468224837,51.22272,-0.72475
13,89.00000000000001,533.0639577307875,51.22272,-0.7254200000000001
14,88.2,572.935212617851,51.222750000000005,-0.72599
15,86.65,653.2182023054738,51.222710000000006,-0.72714
16,86.0,736.8735949661667,51.22263001212996,-0.7283333375585871
17,85.58,820.5289876268585,51.22255001212475,-0.729526670969438
18,86.31000000000002,904.184364027163,51.22247,-0.73072
19,86.55,969.0899291562025,51.22238,-0.7316400000000001
20,86.35000000000001,1002.7646160732755,51.22231000000001,-0.73211
21,86.18,1009.2641454709608,51.222280000000005,-0.73219
22,86.16,1009.2641454709608,51.222280000000005,-0.7322000000000001
23,85.53,1069.102143182709,51.222030000000004,-0.7329600000000001
24,86.0,1112.3423355191433,51.22191,-0.73355
25,89.27,1165.686055718815,51.22144,-0.7334
26,95.31,1237.3559159186914,51.22081333385057,-0.7331633269047071
27,101.08,1309.0257761175696,51.22018666722383,-0.7329266602532231
28,104.0,1380.6956500156602,51.21956,-0.7326900000000001
29,102.05,1425.3426717846914,51.219170000000005,-0.73284
30,95.95,1487.9268666408652,51.21864000000001,-0.73314
31,93.80000000000001,1532.918505562588,51.218270000000004,-0.7334
32,93.80000000000001,1548.187679772615,51.218140000000005,-0.7334700000000001
33,93.65,1596.549881035212,51.217710000000004,-0.73357
34,93.65,1608.2124937911412,51.21761000000001,-0.73362
35,93.73,1675.0324480929771,51.21708500097327,-0.734085005256583
36,94.87,1741.8524156152998,51.21656,-0.73455
37,96.99000000000001,1808.8290591539562,51.21605,-0.73506
38,97.89,1876.9492968054838,51.21551,-0.7355200000000001
39,98.95,1962.4597983701249,51.21475,-0.7357
40,100.51,2016.489236494028,51.21427500027446,-0.735860001594908
41,102.04,2070.5187122393554,51.213800000000006,-0.73602
42,104.05,2157.032086999714,51.21303000016411,-0.7361900028337961
43,105.09,2243.545470963565,51.21226000000001,-0.73636
44,105.09,2256.973547097632,51.212140000000005,-0.73638
45,105.10000000000001,2256.973547097632,51.21213,-0.73638
46,106.98,2321.7092709708454,51.21155,-0.73645
47,107.03000000000002,2332.8515958397943,51.21146,-0.7365200000000001
48,106.97000000000001,2342.3287988152115,51.211420000000004,-0.7366400000000001
49,105.00000000000001,2413.522540112205,51.211450000000006,-0.7376600000000001
50,105.00000000000001,2436.5573627444933,51.21144,-0.73799
51,106.07000000000001,2502.400091445412,51.21087500041929,-0.738270003393241
52,107.3,2568.2428400063854,51.21031000000001,-0.73855
53,108.00000000000001,2602.0942471701865,51.210010000000004,-0.73863
54,115.96000000000001,2640.860996145885,51.20975000000001,-0.73826
55,115.97,2640.860996145885,51.20975000000001,-0.73826
56,115.0,2674.94170731274,51.20953,-0.73792
57,116.62000000000002,2719.415710238212,51.20929,-0.73741
58,122.00000000000001,2811.8221064925733,51.20890000000001,-0.73624
59,124.61000000000001,2886.4250219735527,51.20867000430284,-0.7352349949757501
60,126.95,2961.0279367124062,51.20844,-0.73423
61,127.67,3030.4088134222384,51.208403341745715,-0.733236665169111
62,128.93,3099.7896901320105,51.208366675082154,-0.7322433319197891
63,131.17000000000002,3169.1705844706694,51.208330000000004,-0.7312500000000001
64,131.35000000000002,3239.008344361667,51.208105003760046,-0.7303149955762981
65,130.39000000000001,3308.84612581499,51.20788,-0.72938
66,130.4,3308.84612581499,51.20788,-0.72938
67,129.0,3361.6482333902495,51.207715002149726,-0.728669997463214
68,127.04,3414.4503419989287,51.207550000000005,-0.72796
69,126.06,3482.2259915075965,51.20739500375928,-0.727019996799922
70,125.66000000000003,3550.001635759504,51.207240000000006,-0.7260800000000001
71,126.52000000000002,3606.8690962964192,51.20700000233657,-0.7253599966304981
72,127.11,3663.7366172550537,51.20676,-0.7246400000000001
73,126.94,3691.6650342012317,51.20665,-0.72428
74,126.34,3712.637960771245,51.2066,-0.72399
75,124.07000000000001,3799.1218150031727,51.20646000000001,-0.72277
76,118.29,3895.245338394017,51.20615001410615,-0.7214833159991221
77,114.33000000000001,3991.368861785436,51.20584001410271,-0.7201966493185851
78,111.00000000000001,4087.4923820947924,51.20553,-0.71891
79,113.53,4134.638189487339,51.205940000000005,-0.71908
80,114.77000000000001,4181.957143323505,51.206340000000004,-0.71931
81,115.14,4237.6306013815065,51.20673000000001,-0.7198100000000001
82,115.14,4237.6306013815065,51.20673000000001,-0.7198100000000001
83,115.58000000000001,4271.225378572096,51.20698,-0.72008
84,116.0,4295.005222918764,51.20718,-0.7202000000000001
85,117.93,4360.795145255616,51.207750000000004,-0.72045
86,120.50000000000001,4413.991767454012,51.208224999973226,-0.7203650008869971
87,122.45,4467.188402546786,51.20870000000001,-0.72028
88,124.85000000000001,4540.053723849901,51.2093500001957,-0.7204049982605021
89,126.0,4612.919016205912,51.21,-0.72053
90,126.63000000000002,4628.51600323339,51.21014,-0.7205400000000001
91,127.78,4675.44700947293,51.21056,-0.72048
92,129.81,4758.809724107733,51.211300000175484,-0.720295002965546
93,130.38000000000002,4842.172432063491,51.21204,-0.72011
94,130.29999999999998,4901.163262730539,51.21257000000472,-0.7201199998849791
95,129.82000000000002,4960.154092442972,51.213100000000004,-0.72013
