secs,altitude,distance,lat,lon
0,35.8,0.0,51.178869,-0.079396
1,36.0,12.5,51.178846,-0.079567
2,36.0,24.7,51.178824,-0.079735
3,36.0,36.6,51.178802,-0.079907
4,36.0,48.7,51.17878,-0.080077
5,36.0,60.7,51.178757,-0.080248
6,36.0,72.8,51.178733,-0.080415
7,36.0,84.8,51.17871,-0.080581
8,36.0,96.6,51.178688,-0.080746
9,36.0,108.1,51.178666,-0.080906
10,36.0,119.1,51.178645,-0.081061
11,36.0,129.3,51.178627,-0.081202
12,36.0,138.1,51.178596,-0.081296
13,36.0,145.5,51.178549,-0.081333
14,35.8,152.9,51.178502,-0.081313
15,36.0,161.0,51.178457,-0.081309
16,35.8,170.5,51.178384,-0.081292
17,36.0,179.8,51.17829,-0.08126
18,35.8,189.7,51.178192,-0.081229
19,35.8,199.8,51.178102,-0.081208
20,35.8,210.8,51.178009,-0.081189
21,35.8,221.2,51.177917,-0.081166
22,35.8,231.8,51.177823,-0.08115
23,35.8,242.6,51.177728,-0.081136
24,35.8,253.2,51.177633,-0.081119
25,35.8,263.9,51.177538,-0.081102
26,35.8,274.6,51.177443,-0.081087
27,35.8,285.3,51.177349,-0.081071
28,36.0,296.0,51.177254,-0.081055
29,36.0,306.9,51.17716,-0.081034
30,36.0,317.8,51.177066,-0.081006
31,36.0,328.6,51.176972,-0.080974
32,36.0,339.3,51.176878,-0.080939
33,36.0,350.1,51.176785,-0.0809
34,36.0,360.9,51.176693,-0.080858
35,36.2,371.8,51.176603,-0.080806
36,36.2,382.6,51.176514,-0.080747
37,36.2,393.4,51.176424,-0.080684
38,36.2,404.3,51.176333,-0.080626
39,36.2,415.2,51.176241,-0.080574
40,36.4,426.1,51.176145,-0.080527
41,36.4,437.2,51.176047,-0.080481
42,36.4,448.5,51.175946,-0.080435
43,36.4,460.2,51.175845,-0.08039
44,36.4,472.1,51.175742,-0.080344
45,36.4,484.5,51.175634,-0.080297
46,36.2,497.3,51.175522,-0.080255
47,36.0,510.1,51.175408,-0.080215
48,35.8,522.9,51.175296,-0.080181
49,35.6,535.0,51.175184,-0.080143
50,35.4,546.9,51.175081,-0.080095
51,35.0,558.9,51.174987,-0.080022
52,35.0,571.1,51.174898,-0.079923
53,34.6,583.5,51.174811,-0.07982
54,34.6,596.1,51.17472,-0.079718
55,34.6,608.6,51.174623,-0.079625
56,34.6,621.2,51.174523,-0.079541
57,34.8,633.5,51.174416,-0.079456
58,34.8,645.7,51.174311,-0.079378
59,34.8,657.8,51.174212,-0.079311
60,35.0,669.7,51.174113,-0.079244
61,35.2,681.5,51.174013,-0.07918
62,35.4,693.3,51.173915,-0.079121
63,35.4,705.2,51.173816,-0.079069
64,35.4,717.1,51.173713,-0.07902
65,35.4,729.2,51.173608,-0.078973
66,35.6,741.4,51.1735,-0.078932
67,35.8,753.8,51.17339,-0.078896
68,35.8,766.6,51.173278,-0.078862
69,35.8,779.5,51.173163,-0.078829
70,35.8,792.6,51.173046,-0.078796
71,35.8,805.9,51.172929,-0.078763
72,35.8,819.3,51.172811,-0.07873
73,35.8,832.6,51.172692,-0.078695
74,35.6,846.1,51.172572,-0.07866
75,35.6,859.8,51.172452,-0.078623
76,35.6,873.5,51.172331,-0.078585
77,35.4,886.9,51.172211,-0.078548
78,35.4,900.4,51.172093,-0.078511
79,35.4,913.9,51.171976,-0.078469
80,35.4,927.2,51.17186,-0.078418
81,35.4,940.4,51.171747,-0.078356
82,35.4,953.1,51.17164,-0.078288
83,35.4,965.4,51.171542,-0.078207
84,35.6,977.3,51.171451,-0.078118
85,35.6,988.9,51.171364,-0.078027
86,35.8,1000.2,51.17128,-0.077933
87,36.0,1011.4,51.171197,-0.07784
88,36.2,1022.5,51.171116,-0.077749
89,36.2,1033.4,51.171036,-0.077656
90,36.4,1044.3,51.170955,-0.077566
91,36.4,1055.2,51.170873,-0.077478
92,36.4,1066.0,51.170792,-0.07739
93,36.6,1076.8,51.170712,-0.0773
94,36.6,1087.6,51.17063,-0.07721
95,36.6,1098.6,51.170548,-0.077119
96,36.6,1109.9,51.170464,-0.077026
97,36.6,1121.4,51.170379,-0.076933
98,36.6,1133.0,51.170295,-0.076842
99,36.6,1144.9,51.170211,-0.076751
100,36.8,1156.6,51.170125,-0.076655
101,36.8,1168.3,51.170038,-0.076564
102,36.8,1180.5,51.16995,-0.076469
103,37.0,1192.6,51.16986,-0.076369
104,37.0,1204.6,51.16977,-0.07627
105,37.2,1216.5,51.169681,-0.076175
106,37.4,1228.4,51.169591,-0.076082
107,37.6,1240.3,51.169501,-0.07599
108,37.6,1252.2,51.169409,-0.075896
109,37.8,1264.1,51.16932,-0.0758
110,38.0,1275.9,51.169233,-0.075701
111,38.0,1287.8,51.169147,-0.075605
112,38.2,1299.2,51.169062,-0.075514
113,38.2,1310.4,51.168977,-0.075422
114,38.2,1321.6,51.168892,-0.075335
115,38.4,1332.7,51.168807,-0.075247
116,38.6,1343.7,51.168722,-0.075159
117,38.6,1354.9,51.168636,-0.075071
118,38.6,1366.3,51.168549,-0.074981
119,38.6,1378.0,51.168463,-0.074884
120,38.6,1389.8,51.168377,-0.074782
121,38.6,1401.7,51.168291,-0.074679
122,38.6,1413.6,51.168206,-0.074574
123,38.4,1425.6,51.168121,-0.074466
124,38.4,1437.7,51.168035,-0.074358
125,38.2,1449.9,51.167948,-0.074252
126,38.0,1462.2,51.167861,-0.074145
127,38.0,1474.6,51.167773,-0.074034
128,37.8,1487.1,51.16769,-0.073919
129,37.6,1499.5,51.167614,-0.073791
130,37.6,1511.8,51.167553,-0.073647
131,37.4,1523.7,51.1675,-0.073498
132,37.2,1535.6,51.167459,-0.073354
133,37.2,1547.1,51.167436,-0.073205
134,37.4,1558.5,51.167416,-0.073049
135,37.6,1569.6,51.167395,-0.07289
136,37.6,1581.0,51.16737,-0.072731
137,37.8,1592.4,51.167344,-0.072572
138,37.8,1603.8,51.167318,-0.072413
139,38.2,1615.2,51.167306,-0.072249
140,38.4,1626.6,51.167303,-0.072081
141,38.6,1638.1,51.167314,-0.071915
142,38.8,1649.6,51.167315,-0.071747
143,38.8,1661.2,51.167307,-0.071581
144,39.0,1672.8,51.16729,-0.071417
145,39.2,1684.3,51.167266,-0.071257
146,39.4,1696.0,51.167234,-0.0711
147,39.4,1707.7,51.167198,-0.070947
148,39.6,1719.2,51.167158,-0.070795
149,39.6,1730.9,51.167114,-0.070643
150,39.8,1742.6,51.167068,-0.070492
151,39.8,1754.6,51.167018,-0.070339
152,39.8,1766.8,51.166967,-0.070181
153,40.0,1778.8,51.166918,-0.070022
154,40.0,1791.1,51.166872,-0.06986
155,40.0,1803.5,51.166829,-0.069695
156,40.0,1816.0,51.166791,-0.069527
157,40.0,1828.6,51.166755,-0.069358
158,40.0,1841.2,51.166724,-0.069185
159,40.0,1853.9,51.166695,-0.069013
160,40.0,1866.6,51.166667,-0.068839
161,39.8,1879.2,51.166637,-0.068665
162,39.8,1891.8,51.166609,-0.068489
163,39.6,1904.5,51.166584,-0.068313
164,39.6,1917.1,51.166563,-0.068136
165,39.6,1929.9,51.166542,-0.067953
166,39.6,1942.8,51.166521,-0.067767
167,39.6,1955.9,51.166502,-0.067577
168,39.4,1968.9,51.166488,-0.067388
169,39.2,1982.1,51.166476,-0.067196
170,39.0,1995.4,51.166468,-0.067005
171,38.8,2008.7,51.166462,-0.066813
172,38.6,2021.9,51.166463,-0.066622
173,38.4,2035.1,51.166468,-0.06643
174,38.0,2048.4,51.166476,-0.066239
175,37.8,2061.8,51.166487,-0.066048
176,37.8,2075.1,51.166501,-0.065858
177,37.6,2088.4,51.166517,-0.065669
178,37.6,2101.6,51.166536,-0.065481
179,37.6,2114.8,51.166559,-0.065294
180,37.6,2128.1,51.166583,-0.065108
181,37.4,2141.4,51.166609,-0.064921
182,37.2,2154.8,51.166643,-0.064737
183,37.2,2168.3,51.166686,-0.064557
184,37.0,2181.4,51.166733,-0.064382
185,37.0,2194.4,51.166783,-0.064212
186,36.8,2207.2,51.166836,-0.064049
187,36.8,2219.8,51.166903,-0.063908
188,36.6,2231.8,51.167012,-0.063839
189,36.6,2243.6,51.167116,-0.063799
190,36.6,2255.2,51.167219,-0.06378
191,36.6,2266.9,51.167326,-0.063752
192,36.4,2279.0,51.167428,-0.063717
193,36.4,2291.1,51.167528,-0.063664
194,36.2,2303.3,51.167627,-0.063583
195,36.2,2315.6,51.167716,-0.063474
196,36.2,2328.1,51.167797,-0.063345
197,36.2,2340.8,51.167874,-0.063207
198,36.2,2353.7,51.167948,-0.063061
199,36.0,2366.6,51.16802,-0.062913
200,36.0,2379.3,51.168091,-0.062766
201,36.0,2391.8,51.168162,-0.062622
202,36.0,2404.4,51.168237,-0.062484
203,36.0,2417.0,51.168321,-0.062363
204,35.8,2429.7,51.168416,-0.06227
205,35.8,2442.1,51.168521,-0.062218
206,35.8,2454.3,51.168628,-0.062211
207,35.8,2466.5,51.168736,-0.062244
208,35.8,2478.6,51.168838,-0.0623
209,36.0,2490.6,51.168939,-0.062364
210,36.0,2502.4,51.169037,-0.062433
211,36.0,2514.3,51.169133,-0.062507
212,36.2,2526.3,51.169232,-0.062579
213,36.2,2538.3,51.169334,-0.062646
214,36.2,2550.5,51.169437,-0.062712
215,36.2,2562.9,51.169543,-0.062778
216,36.4,2575.3,51.16965,-0.062841
217,36.6,2587.5,51.169756,-0.0629
218,36.6,2599.9,51.169861,-0.062953
219,36.8,2612.1,51.169966,-0.063003
220,37.2,2624.4,51.170072,-0.063053
221,37.4,2636.7,51.170178,-0.063101
222,37.6,2649.1,51.170285,-0.063143
223,37.8,2661.4,51.170393,-0.063179
224,38.0,2673.7,51.170501,-0.063211
225,38.2,2685.8,51.170608,-0.06324
226,38.4,2698.0,51.170714,-0.063271
227,38.6,2709.8,51.170818,-0.06331
228,39.0,2721.4,51.170918,-0.06335
229,39.2,2732.6,51.171017,-0.063388
230,39.4,2744.1,51.171112,-0.063423
231,39.8,2755.1,51.171204,-0.063459
232,40.4,2765.9,51.171295,-0.063507
233,40.8,2776.8,51.171385,-0.063566
234,41.2,2787.6,51.171473,-0.063632
235,41.6,2798.4,51.171562,-0.063703
236,42.0,2809.2,51.171651,-0.063767
237,42.2,2820.0,51.171745,-0.063808
238,42.6,2830.9,51.171844,-0.063825
239,42.6,2841.9,51.171941,-0.063822
240,42.6,2853.0,51.172038,-0.063809
241,42.8,2864.1,51.172138,-0.0638
242,42.8,2875.5,51.172236,-0.063799
243,42.8,2887.2,51.172335,-0.06381
244,42.8,2899.0,51.172435,-0.063835
245,42.6,2910.9,51.17254,-0.06386
246,42.4,2923.0,51.172654,-0.063883
247,42.2,2935.5,51.17277,-0.06391
248,42.0,2948.1,51.172886,-0.063937
249,41.6,2960.8,51.173002,-0.063964
