,distance
470,5648.8
471,5661.1
472,5673.6
473,5685.9
474,5697.6
475,5709.2
476,5720.6
477,5731.9
478,5743.0
479,5754.0
480,5765.1
481,5776.0
482,5787.1
483,5798.0
484,5808.4
485,5819.1
486,5830.5
487,5842.5
488,5854.8
489,5867.5
490,5880.4
491,5893.3
492,5906.3
493,5919.5
494,5932.9
495,5946.5
496,5960.4
497,5974.2
498,5987.9
499,6002.4
500,6016.9
501,6031.5
502,6046.2
503,6060.9
504,6075.4
505,6090.2
506,6104.6
507,6119.1
508,6133.5
509,6148.1
510,6162.5
511,6177.0
512,6191.4
513,6206.0
514,6220.3
515,6234.2
516,6248.3
517,6262.0
518,6276.0
519,6289.9
520,6303.9
521,6318.1
522,6331.8
523,6346.1
524,6360.0
525,6373.6
526,6387.1
527,6400.4
528,6414.1
529,6427.5
530,6440.6
531,6453.8
532,6467.2
533,6480.6
534,6494.1
535,6507.1
536,6520.1
537,6533.0
538,6545.9
539,6558.8
540,6571.8
541,6584.5
542,6597.2
543,6609.7
544,6622.4
545,6635.3
546,6648.3
547,6661.4
548,6674.5
549,6687.3
550,6700.2
551,6713.2
552,6726.3
553,6739.2
554,6751.9
555,6764.4
556,6776.4
557,6788.3
558,6799.6
559,6810.7
560,6821.2
561,6830.4
562,6838.9
563,6846.6
564,6853.8
565,6860.7
566,6868.0
567,6876.4
568,6886.2
569,6896.7
570,6908.2
571,6919.7
572,6931.7
573,6944.2
574,6956.7
575,6969.1
576,6981.8
577,6994.4
578,7006.9
579,7019.4
580,7032.3
581,7045.2
582,7058.6
583,7071.9
584,7085.4
585,7099.2
586,7113.0
587,7127.1
588,7141.0
589,7155.1
590,7169.1
591,7183.2
592,7197.2
593,7211.1
594,7225.4
595,7239.1
596,7252.4
597,7265.8
598,7278.6
599,7291.0
600,7303.3
601,7315.4
602,7327.3
603,7339.1
604,7351.0
605,7363.1
606,7375.4
607,7388.1
608,7401.2
609,7414.0
610,7426.9
611,7440.1
612,7453.2
613,7466.6
614,7480.1
615,7493.4
616,7506.5
617,7519.4
618,7532.2
619,7545.0
620,7557.6
621,7570.3
622,7582.7
623,7594.9
624,7606.9
625,7618.8
626,7631.0
627,7643.0
628,7654.7
629,7667.0
630,7679.6
631,7692.2
632,7704.9
633,7717.8
634,7731.4
635,7745.3
636,7759.1
637,7772.6
638,7785.9
639,7799.0
640,7811.7
641,7823.8
642,7834.6
643,7843.9
644,7851.9
645,7859.2
646,7867.3
647,7876.6
648,7886.3
649,7896.9
650,7907.7
651,7919.0
652,7930.8
653,7942.7
654,7955.0
655,7967.5
656,7980.2
657,7993.0
658,8005.7
659,8018.5
660,8031.3
661,8044.1
662,8056.9
663,8069.4
664,8081.9
665,8094.1
666,8106.1
667,8118.0
668,8129.9
669,8141.7
670,8153.5
671,8165.4
672,8177.5
673,8189.8
674,8202.3
675,8214.8
676,8227.6
677,8240.2
678,8252.7
679,8264.8
680,8277.0
681,8289.3
682,8301.8
683,8313.9
684,8326.1
685,8337.9
686,8349.5
687,8361.2
688,8372.9
689,8385.1
690,8397.2
691,8409.5
692,8421.5
693,8433.6
694,8445.6
695,8457.6
696,8469.7
697,8481.9
698,8494.1
699,8506.3
700,8518.3
701,8530.2
702,8542.4
703,8554.6
704,8567.1
705,8579.8
706,8592.6
707,8605.4
708,8618.2
709,8631.1
710,8643.8
711,8656.2
712,8668.4
713,8680.5
714,8692.5
715,8704.7
716,8716.8
717,8729.1
718,8741.4
719,8753.7
720,8765.9
721,8777.8
722,8789.8
723,8802.0
724,8814.2
725,8826.4
726,8838.2
727,8849.9
728,8861.3
729,8872.7
730,8884.1
731,8895.8
732,8907.7
733,8919.5
734,8931.0
735,8942.4
736,8954.2
737,8966.2
738,8978.4
739,8990.5
740,9002.8
741,9015.2
742,9027.2
743,9039.0
744,9050.5
745,9062.0
746,9073.9
747,9086.2
748,9098.6
749,9111.1
750,9123.4
751,9135.6
752,9148.0
753,9160.7
754,9173.5
755,9186.4
756,9199.2
757,9211.5
758,9223.4
759,9234.8
760,9246.5
761,9258.4
762,9270.4
763,9282.7
764,9295.3
765,9307.9
766,9320.5
767,9332.9
768,9345.2
769,9357.7
770,9370.0
771,9381.9
772,9393.6
773,9405.2
774,9416.7
775,9428.1
776,9439.8
777,9451.7
778,9463.7
779,9475.9
780,9488.0
781,9500.4
782,9512.9
783,9525.5
784,9538.2
785,9551.0
786,9563.7
787,9576.5
788,9589.3
789,9602.1
790,9615.2
791,9628.1
792,9641.2
793,9654.3
794,9667.4
795,9680.6
796,9693.9
797,9707.2
798,9720.7
799,9734.3
800,9747.7
801,9761.2
802,9774.4
803,9787.5
804,9800.2
805,9813.0
806,9825.6
807,9838.4
808,9851.2
809,9863.7
810,9876.0
811,9888.2
812,9899.9
813,9911.3
814,9922.0
815,9932.3
816,9942.7
817,9953.6
818,9965.1
819,9976.9
820,9989.0
821,10001.3
822,10013.8
823,10026.5
824,10039.4
825,10052.6
826,10065.9
827,10079.3
828,10092.6
829,10106.0
830,10119.1
831,10132.0
832,10144.6
833,10157.2
834,10170.0
835,10183.1
836,10196.2
837,10209.2
838,10222.4
839,10235.5
840,10248.7
841,10261.5
842,10274.5
843,10287.5
844,10300.2
845,10312.7
846,10324.9
847,10336.9
848,10348.9
849,10361.3
850,10373.3
851,10385.4
852,10397.2
853,10408.9
854,10420.4
855,10431.6
856,10442.7
857,10453.7
858,10464.3
859,10474.6
860,10484.5
861,10494.2
862,10504.0
863,10514.0
864,10523.9
865,10533.8
866,10543.7
867,10553.4
868,10562.7
869,10571.9
870,10581.2
871,10590.8
872,10600.8
873,10611.2
874,10621.7
875,10632.5
876,10643.7
877,10655.3
878,10667.4
879,10679.5
880,10692.2
881,10704.8
882,10717.7
883,10730.5
884,10743.6
885,10756.6
886,10770.0
887,10783.3
888,10796.5
889,10809.8
890,10822.9
891,10835.9
892,10848.6
893,10861.2
894,10873.6
895,10885.8
896,10897.8
897,10910.2
898,10922.8
899,10935.5
900,10948.3
901,10961.3
902,10974.5
903,10987.6
904,11000.7
905,11014.0
906,11027.4
907,11040.9
908,11054.3
909,11067.8
910,11081.0
911,11094.2
912,11106.9
913,11119.4
914,11132.0
915,11145.0
916,11158.0
917,11171.3
918,11184.4
919,11197.5
920,11210.8
921,11224.1
922,11237.0
923,11250.0
924,11263.0
925,11276.3
926,11289.4
